Field name,Reservoir unit,Country,Region,Basin name,Tectonic regime,Latitude,Longitude,Operator company,Onshore/offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Period,Lithology,Gross,Netpay,Porosity,Permeability,Oil density,Oil recovery factor,Condensate recovery factor,Gas recovery factor
CASHIRIARI,VIIVIAN,PERU,LATIN AMERICA,UCAYALI,COMPRESSION,-12.1667,-72.75,PLUSPETROL,ONSHORE,GAS-CONDENSATE,UNDEVELOPED,THRUST,1845.0,CRETACEOUS,SANDSTONE,73.5,63.0,13.0,1000.0,727.5064267352185,,,
CASPER CREEK SOUTH,TENSLEEP,USA,NORTH AMERICA,WIND RIVER,COMPRESSION,42.64,-106.84,CITATION OIL and GAS,ONSHORE,OIL,MATURE PRODUCTION,THRUST,690.0,CARBONIFEROUS,SANDSTONE,90.0,36.0,21.0,650.0,974.5179063360882,0.557,,
CAVE GULCH,LANCE-FORT UNION,USA,NORTH AMERICA,WIND RIVER,COMPRESSION,42.98,-106.87,WILLIAMS,ONSHORE,GAS,DECLINING PRODUCTION,SUB-THRUST,1440.0,CRETACEOUS-PALEOGENE,SANDSTONE,1380.0,165.0,17.0,3.0,,,,
CAZAUX,SERIE MARNEUSE,FRANCE,EUROPE,AQUITAINE,COMPRESSION,44.5407,-1.182,EXXONMOBIL,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2199.9,CRETACEOUS,SANDSTONE,60.0,19.8,18.0,200.0,852.9234478601567,0.28,,
CHAIVO-MORE,LOWER NUTOVO (XIV),RUSSIA,FORMER SOVIET UNION,NORTH SAKHALIN,STRIKE-SLIP,52.5467,143.4583,EXXONMOBIL,OFFSHORE,OIL,UNDEVELOPED,INVERSION,1836.6,NEOGENE,SANDSTONE,103.8,30.6,23.0,100.0,912.9032258064516,0.23,,
CHAIVO-MORE,LOWER NUTOVO (XVI),RUSSIA,FORMER SOVIET UNION,NORTH SAKHALIN,STRIKE-SLIP,52.5467,143.4583,EXXONMOBIL,OFFSHORE,GAS-CONDENSATE,UNDEVELOPED,INVERSION,2038.2,NEOGENE,SANDSTONE,87.0,44.4,23.0,100.0,834.8082595870206,,0.63,
CHALYBEAT SPRINGS,SMACKOVER,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,33.0456,-93.0971,BP,ONSHORE,OIL,NEARLY DEPLETED,SALT,3012.0,JURASSIC,LIMESTONE,22.5,8.1,12.0,200.0,797.1830985915493,0.43,,
CHATEAURENARD,CHATEAURENARD,FRANCE,EUROPE,PARIS,EXTENSION,47.9903,2.9619,MADISON /CHART,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,558.0,CRETACEOUS,SANDSTONE,8.4,4.5,27.0,1000.0,892.7444794952681,0.42,,
CHATEAURENARD,GRISELLES,FRANCE,EUROPE,PARIS,EXTENSION,47.9903,2.9619,MADISON /CHART,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,592.5,CRETACEOUS,SANDSTONE,6.0,2.1,27.0,1000.0,892.7444794952681,0.42,,
CHAUNOY,CHAUNOY,FRANCE,EUROPE,PARIS,EXTENSION,48.5687,2.8034,ESSOREP,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,2206.8,TRIASSIC,SANDSTONE,65.1,24.6,13.0,130.0,839.7626112759643,0.38,,
CHELEKEN,RED SERIES,TURKMENISTAN,FORMER SOVIET UNION,CASPIAN SOUTH,COMPRESSION,39.58,53.13,TURKMENNEFT,ONSHORE-OFFSHORE,OIL,MATURE PRODUCTION,THRUST,540.0,NEOGENE,SANDSTONE,2250.0,57.0,19.0,30.0,860.1823708206687,0.35,,
CHENGDAO,GUANTAO,CHINA,FAR EAST,BOHAI,EXTENSION,38.173,118.8465,SINOPEC,OFFSHORE,OIL,PLATEAU PRODUCTION,RIFT,1182.0,NEOGENE,SANDSTONE,283.5,70.8,33.8,2529.0,898.4126984126984,0.2,,
CHINGUETTI,CHINGUETTI,MAURITANIA,AFRICA,MAURITANIAN SALT,EVAPORITE,17.73,-17.59,WOODSIDE ENERGY,OFFSHORE,OIL,DEVELOPING,PASSIVE MARGIN,1170.0,NEOGENE,SANDSTONE,246.0,37.5,27.0,2000.0,865.4434250764525,,,
CINTA,TALANG AKAR (ZONE 3),INDONESIA,FAR EAST,SUNDA,INVERSION,-5.4397,106.2639,REPSOL YPF,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION,864.0,PALEOGENE,SANDSTONE,60.0,19.5,18.0,505.0,860.1823708206687,0.44,,
CLIPPER,LEMAN SANDSTONE,UK,EUROPE,NORTH SEA SOUTHERN,INVERSION,53.4682,1.7338,SHELL,OFFSHORE,GAS,DECLINING PRODUCTION,SUB-SALT,2226.0,PERMIAN,SANDSTONE,214.5,174.0,11.0,0.5,,,,0.64
CLYDE,FULMAR,UK,EUROPE,NORTH SEA CENTRAL,GRAVITY,56.45,2.2833,TALISMAN,OFFSHORE,OIL,NEARLY DEPLETED,SALT,3536.1,JURASSIC,THINLY-BEDDED SANDSTONE,195.0,117.0,20.0,350.0,837.2781065088757,0.35,,
COALINGA,TEMBLOR,USA,NORTH AMERICA,SAN JOAQUIN,COMPRESSION,36.2674,-120.3659,CHEVRON AND OTHERS,ONSHORE,OIL,MATURE PRODUCTION,WRENCH,150.0,NEOGENE,SHALY SANDSTONE,210.0,57.0,34.0,850.0,952.8619528619529,,,
CORMORANT,BRENT,UK,EUROPE,NORTH SEA NORTHERN,,61.1286,1.1066,SHELL,OFFSHORE,OIL,NEARLY DEPLETED,RIFT,2310.0,JURASSIC,SANDSTONE,90.0,67.5,,500.0,849.8498498498498,0.38,,
COTTONWOOD CREEK,PHOSPHORIA (ERVAY),USA,NORTH AMERICA,BIG HORN,COMPRESSION,44.039,-107.748,BP,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,1410.0,PERMIAN,DOLOMITE,19.5,6.3,8.0,0.5,892.7444794952681,0.44,,
COUNTESS,UPPER MANNVILLE (YY POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,50.6174,-112.2057,ENCANA,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,1004.1,CRETACEOUS,SANDSTONE,18.8,5.4,26.0,2500.0,904.1533546325878,0.45,,
CRYSTAL (CANADA),VIKING (A POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,52.9506,-114.429,WESTCOAST PETROLEUM,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,1752.0,CRETACEOUS,SANDSTONE,9.6,9.0,10.5,200.0,829.9120234604105,0.35,,
CRYSTAL (USA),DUNDEE,USA,NORTH AMERICA,MICHIGAN,STRIKE-SLIP,43.2827,-84.8716,CRONUS DEVELOPMENT,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,954.0,DEVONIAN,DOLOMITE,30.0,7.8,10.0,3.0,806.2678062678062,0.22,,
CUSIANA,MIRADOR,COLOMBIA,LATIN AMERICA,LLANOS,COMPRESSION,5.0299,-72.6719,BP AND OTHERS,ONSHORE,OIL,DECLINING PRODUCTION,THRUST,3900.0,PALEOGENE,SANDSTONE,120.0,60.0,9.0,100.0,842.7635497319832,0.6,,0.8
CUT BANK,CUT BANK SANDSTONE,USA,NORTH AMERICA,WESTERN CANADA,,48.8208,-112.2007,MONTANA POWER COMPANY,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,630.0,CRETACEOUS,SANDSTONE,14.1,4.8,,110.0,834.8082595870206,0.3,,
CYMRIC,TULARE,USA,NORTH AMERICA,SAN JOAQUIN,COMPRESSION,35.3826,-119.708,CHEVRON /PXP,ONSHORE,OIL,DECLINING PRODUCTION,WRENCH,300.0,NEOGENE,SANDSTONE,180.0,60.0,35.0,3000.0,979.2387543252596,,,
DAN,CHALK GROUP (TOR-EKOFISK),DENMARK,EUROPE,NORTH SEA CENTRAL,INVERSION,55.4696,5.13375,MAERSK,OFFSHORE,OIL,PLATEAU PRODUCTION,SALT,1668.0,CRETACEOUS-PALEOGENE,CHALK,150.0,48.0,28.0,1.8,876.1609907120743,0.27,,0.47
DAQING (LAMADIAN),SAERTU-PUTAOHUA-GAOTAIZI,CHINA,FAR EAST,SONGLIAO,INVERSION,46.7167,124.8333,PETROCHINA,ONSHORE,OIL,DECLINING PRODUCTION,INVERSION,820.2,CRETACEOUS,THINLY-BEDDED SANDSTONE,180.0,30.0,26.0,1500.0,860.1823708206687,0.39,,
DAULETABAD-DONMEZ,SHATLYK,TURKMENISTAN,FORMER SOVIET UNION,AMU DARYA,,36.4381,61.6544,TURKMENROSGAZ,ONSHORE,GAS,PLATEAU PRODUCTION,INTRACRATONIC,2805.0,CRETACEOUS,SANDSTONE,19.8,13.8,,350.0,,,,0.81
DEFA,WAHA-DEFA,LIBYA,AFRICA,SIRT,EXTENSION,28.0781,19.915,LNOC,ONSHORE,OIL,UNKNOWN,RIFT,1557.9,CRETACEOUS-PALEOGENE,LIMESTONE,258.0,63.0,20.0,20.0,854.9848942598187,0.31,,
DELTA SOUTH,AGBADA (G2 SAND),NIGERIA,AFRICA,NIGER DELTA,GRAVITY,5.6139,5.1018,CHEVRON,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA,2395.5,NEOGENE,SANDSTONE,19.8,15.0,28.0,2000.0,829.9120234604105,0.62,,0.79
DELTA SOUTH,AGBADA (G3 SAND),NIGERIA,AFRICA,NIGER DELTA,GRAVITY,5.6139,5.1018,CHEVRON,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA,2464.5,NEOGENE,SANDSTONE,39.0,27.0,26.5,2000.0,829.9120234604105,0.62,,0.82
DINEH-BI-KEYAH,UNNAMED,USA,NORTH AMERICA,DEFIANCE UPLIFT,UPLIFT,36.4773,-109.1404,KERR-MCGEE /HUMBLE,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,840.0,PALEOGENE,VOLCANICS,28.5,24.0,10.0,0.5,810.888252148997,,,
DJARKUDUK,KYZYLTASH,AFGHANISTAN,FAR EAST,AMU DARYA,COMPRESSION,36.6167,65.7,AFGHANGAS,ONSHORE,GAS,REJUVENATING,INTRACRATONIC,1968.0,CRETACEOUS,SANDSTONE,135.0,26.7,23.0,214.0,,,,0.86
DJEITUN,RED SERIES,TURKMENISTAN,FORMER SOVIET UNION,CASPIAN SOUTH,COMPRESSION,39.58,52.83,DRAGON OIL,OFFSHORE,OIL,DEVELOPING,THRUST,2265.0,NEOGENE,SANDSTONE,3150.0,24.0,17.0,22.0,827.485380116959,0.33,,
DONGFANG 1-1,YINGGEHAI,CHINA,FAR EAST,YINGGEHAI,TRANSTENSION,18.6146,107.9364,CNOOC,OFFSHORE,GAS,DEVELOPING,WRENCH,1115.1,NEOGENE,SANDSTONE,198.0,92.4,25.0,88.3,775.3424657534247,,,0.7
DRAKE POINT,DRAKE POINT-INTREPID INLET,CANADA,NORTH AMERICA,SVERDRUP,COMPRESSION,76.4462,-108.9172,PANARCTIC OILS,ONSHORE,GAS,UNDEVELOPED,FORELAND,1017.0,JURASSIC,SANDSTONE,30.0,21.3,20.0,566.0,,,,0.93
DRAUGEN,ROGN (VIKING),NORWAY,EUROPE,MID-NORWAY SHELF,EXTENSION,64.3656,7.7891,SHELL,OFFSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,1324.8,JURASSIC,SANDSTONE,30.0,19.8,20.0,6000.0,825.072886297376,,,
DUKHAN,ARAB C,QATAR,MIDDLE EAST,THE GULF,COMPRESSION,25.4211,50.7836,QATAR PETROLEUM,ONSHORE,OIL,SECOND PLATEAU PRODUTION,SALT,1589.1,JURASSIC,LIMESTONE,25.2,4.5,18.0,30.0,839.7626112759643,0.42,,
DUKHAN,ARAB D,QATAR,MIDDLE EAST,THE GULF,COMPRESSION,25.4211,50.7836,QATAR PETROLEUM,ONSHORE,OIL,SECOND PLATEAU PRODUTION,SALT,1631.7,JURASSIC,LIMESTONE,69.3,36.0,20.0,70.0,815.5619596541786,0.44,,
DUKHAN,UWAINAT,QATAR,MIDDLE EAST,THE GULF,COMPRESSION,25.4211,50.7836,QATAR PETROLEUM,ONSHORE,OIL,UNKNOWN,SALT,2016.3,JURASSIC,LIMESTONE,36.0,22.5,18.0,15.0,810.888252148997,0.34,,
DUNE,GRAYBURG,USA,NORTH AMERICA,PERMIAN,COMPRESSION,31.5521,-102.4349,NUMEROUS,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,990.0,PERMIAN,DOLOMITE,90.0,24.0,13.0,11.0,854.9848942598187,0.3,,
DURI,BEKASAP (KEDUA-PERTAMA SANDS),INDONESIA,FAR EAST,SUMATRA CENTRAL,INVERSION,1.2956,101.2304,CALTEX PACIFIC INDONESIA,ONSHORE,OIL,MATURE PRODUCTION,INVERSION,120.0,NEOGENE,SANDSTONE,84.0,45.0,34.0,1500.0,933.9933993399341,0.6,,
DURI,DURI (RINDU SAND),INDONESIA,FAR EAST,SUMATRA CENTRAL,INVERSION,1.2956,101.2304,CALTEX PACIFIC INDONESIA,ONSHORE,OIL,MATURE PRODUCTION,INVERSION,66.0,NEOGENE,SANDSTONE,36.0,15.6,32.0,1900.0,921.8241042345277,0.6,,
DZHIGALYBEG,RED SERIES,TURKMENISTAN,FORMER SOVIET UNION,CASPIAN SOUTH,COMPRESSION,39.47,52.73,DRAGON OIL,OFFSHORE,OIL,DEVELOPING,THRUST,3030.0,NEOGENE,SANDSTONE,2460.0,78.0,18.0,100.0,860.1823708206687,0.36,,
EAST CLINTON,RED FORK,USA,NORTH AMERICA,ANADARKO,,35.5017,-98.8745,ANSON GAS CO,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,FORELAND,3435.0,CARBONIFEROUS,SANDSTONE,60.0,36.0,,1.0,762.8032345013477,,0.7,0.8
EAST CROSSFIELD,WABAMUN (A POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,51.4001,-114.0265,BP AND OTHERS,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,2310.0,DEVONIAN,DOLOMITE,30.0,20.3,6.1,5.2,,,,0.8
EAST TEXAS,WOODBINE,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,32.1853,-94.9257,NUMEROUS,ONSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,1050.0,CRETACEOUS,SANDSTONE,15.3,11.1,25.0,2098.0,829.9120234604105,0.86,,
EKOFISK,TOR-EKOFISK,NORWAY,EUROPE,NORTH SEA CENTRAL,INVERSION,56.5357,3.1985,CONOCOPHILLIPS,OFFSHORE,OIL,SECOND PLATEAU PRODUTION,SALT,2775.0,CRETACEOUS-PALEOGENE,CHALK,246.0,177.0,32.0,1.5,844.776119402985,0.49,,
EKOFISK WEST,TOR-EKOFISK,NORWAY,EUROPE,NORTH SEA CENTRAL,INVERSION,56.5667,3.0847,CONOCOPHILLIPS,OFFSHORE,GAS-CONDENSATE,ABANDONED,SALT,2961.0,CRETACEOUS-PALEOGENE,CHALK,195.0,108.0,30.0,1.5,806.2678062678062,,0.24,0.7
EL BORMA,KIRCHAOU,TUNISIA /ALGERIA,AFRICA,GHADAMES,COMPRESSION,31.65,9.18,SITEP /SONATRACH,ONSHORE,OIL,DECLINING PRODUCTION,SUB-SALT,2706.6,TRIASSIC,SANDSTONE,105.9,57.0,17.0,500.0,815.5619596541786,0.59,,
EL DORADO,ADMIRE 650 SAND,USA,NORTH AMERICA,CHEROKEE,INVERSION,37.8526,-97.8984,OCCIDENTAL,ONSHORE,OIL,ABANDONED,FORELAND,150.0,PERMIAN,SANDSTONE,12.0,5.4,28.0,240.0,839.7626112759643,0.34,,
EL FURRIAL,MERECURE (NARICUAL-LOS JABILLOS),VENEZUELA,LATIN AMERICA,EASTERN VENEZUELA,COMPRESSION,9.6835,-63.4529,PDVSA,ONSHORE,OIL,PLATEAU PRODUCTION,THRUST,3825.0,PALEOGENE,SANDSTONE,480.0,255.0,15.0,480.0,898.4126984126984,0.47,,
ELGIN,FULMAR,UK,EUROPE,NORTH SEA CENTRAL,,57.0,1.85,TOTAL,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,SALT,5175.0,JURASSIC,SANDSTONE,294.0,226.5,,25.0,806.2678062678062,,,
ELK BASIN,MADISON,USA,NORTH AMERICA,BIG HORN,COMPRESSION,44.9789,-108.855,NUMEROUS,ONSHORE,OIL,MATURE PRODUCTION,THRUST,1305.0,CARBONIFEROUS,DOLOMITE,234.0,61.5,12.0,7.0,887.1473354231974,0.38,,
ELK BASIN,TENSLEEP,USA,NORTH AMERICA,BIG HORN,COMPRESSION,44.9789,-108.855,NUMEROUS,ONSHORE,OIL,ABANDONED,THRUST,1200.0,CARBONIFEROUS,SANDSTONE,75.0,33.0,17.0,150.0,876.1609907120743,,,
ELK-POCA,ORISKANY,USA,NORTH AMERICA,APPALACHIAN,COMPRESSION,38.6216,-81.6611,NUMEROUS,ONSHORE,GAS,NEARLY DEPLETED,FORELAND,1455.0,DEVONIAN,SANDSTONE,10.5,3.3,8.0,27.5,815.5619596541786,,,0.92
ELKHORN RANCH,MISSION CANYON (MADISON),USA,NORTH AMERICA,WILLISTON,COMPRESSION,47.2376,-103.5028,TENNECO /CENEX /SHELL,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,2737.5,CARBONIFEROUS,DOLOMITE,31.5,12.0,16.0,25.0,797.1830985915493,0.44,,
ELLIS RANCH,CLEVELAND,USA,NORTH AMERICA,ANADARKO,COMPRESSION,36.2724,-100.7161,NUMEROUS,ONSHORE,GAS,DECLINING PRODUCTION,FORELAND,1950.0,CARBONIFEROUS,SHALY SANDSTONE,45.0,7.8,14.0,0.4,797.1830985915493,,,
EMMA,SAN ANDRES,USA,NORTH AMERICA,PERMIAN,COMPRESSION,32.126999999999995,-102.6353,EXXONMOBIL,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,1255.5,PERMIAN,DOLOMITE,105.0,12.0,8.0,3.0,860.1823708206687,,,
EMPIRE ABO,ABO,USA,NORTH AMERICA,PERMIAN,COMPRESSION,32.7677,-104.2507,BP,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,1680.0,PERMIAN,DOLOMITE,90.0,45.3,10.0,50.0,810.888252148997,0.6,,
ENDICOTT,KEKIKTUK,USA,NORTH AMERICA,NORTH SLOPE,,70.3458,-148.0193,BP,OFFSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,2845.2,CARBONIFEROUS,SANDSTONE,240.0,101.1,,1000.0,915.8576051779935,0.44,,
ERB WEST,STAGE IVD (N SAND),MALAYSIA,FAR EAST,SABAH,STRIKE-SLIP,6.353,115.67,PETRONAS,OFFSHORE,OIL,DECLINING PRODUCTION,WRENCH,1814.4,NEOGENE,SANDSTONE,165.0,42.0,20.0,140.0,876.1609907120743,0.44,,
ERSKINE,HEATHER,UK,EUROPE,NORTH SEA CENTRAL,INVERSION,57.0556,2.0694,CHEVRON,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,4470.0,JURASSIC,SANDSTONE,18.0,15.0,20.0,18.0,777.0455793520043,,,0.42
ERSKINE,PENTLAND,UK,EUROPE,NORTH SEA CENTRAL,INVERSION,57.0556,2.0694,CHEVRON,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,4410.0,JURASSIC,SANDSTONE,150.0,45.0,16.0,10.0,777.0455793520043,,,0.42
ERSKINE,PUFFIN (ERSKINE SANDSTONE),UK,EUROPE,NORTH SEA CENTRAL,INVERSION,57.0556,2.0694,CHEVRON,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,4410.0,JURASSIC,SHALY SANDSTONE,66.0,63.0,23.0,10.0,777.0455793520043,,,0.42
ETAME,GAMBA,GABON,AFRICA,GABON SOUTH,EXTENSION,-3.7656,10.5213,VAALCO,OFFSHORE,OIL,DEVELOPING,SUB-SALT,1677.0,CRETACEOUS,SANDSTONE,14.1,10.8,30.0,1550.0,844.776119402985,0.4,,
EUGENE ISLAND 330,LENTICULINA 1-TRIMOSINA A,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,,28.2356,-91.7095,DEVON ENERGY /SHELL /CHEVRON,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA,1158.0,NEOGENE,LOW-RESISTIVITY SANDSTONE,1950.0,60.0,,700.0,915.8576051779935,0.6,,0.75
EVEREST,FORTIES,UK,EUROPE,NORTH SEA CENTRAL,EXTENSION,57.75,1.81,BP,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,2402.4,PALEOGENE,SANDSTONE,25.5,15.0,22.0,27.0,,,,0.64
FAIRWAY,JAMES LIMESTONE,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,32.1068,-95.5215,HUNT OIL COMPANY,ONSHORE,OIL,NEARLY DEPLETED,SALT,3000.0,CRETACEOUS,LIMESTONE,45.0,21.0,11.0,25.0,788.3008356545961,0.56,,
FLOUNDER,LATROBE (T1.1 UNIT),AUSTRALIA,FAR EAST,GIPPSLAND,INVERSION,-38.33,148.417,EXXONMOBIL /BHP BILLITON,OFFSHORE,OIL,DECLINING PRODUCTION,INVERSION,2303.1,CRETACEOUS,SANDSTONE,41.4,37.5,20.0,1200.0,794.0516273849607,0.55,,0.7
FORD-GERALDINE,BELL CANYON,USA,NORTH AMERICA,PERMIAN,COMPRESSION,31.92,-104.0,CONOCOPHILLIPS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,795.0,PERMIAN,SANDSTONE,14.1,7.5,21.0,18.0,825.072886297376,0.315,,
FRANKLIN,FULMAR,UK,EUROPE,NORTH SEA CENTRAL,INVERSION,56.9667,1.8667,TOTAL,OFFSHORE,GAS-CONDENSATE,PLATEAU PRODUCTION,SALT,4908.0,JURASSIC,SANDSTONE,294.0,147.0,16.0,10.0,806.2678062678062,,,
FRIENDSWOOD,FRIO,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,,29.5608,-95.1893,EXXONMOBIL,ONSHORE,OIL,NEARLY DEPLETED,DELTA,1654.5,PALEOGENE,SANDSTONE,204.0,117.0,,2350.0,880.5227131300561,0.82,,
FULLERTON,WICHITA-CLEARFORK,USA,NORTH AMERICA,PERMIAN,COMPRESSION,32.388000000000005,-102.803,EXXONMOBIL,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2010.0,PERMIAN,DOLOMITE,600.0,45.0,10.0,3.0,815.5619596541786,0.28,,
FUYU,FUYU (QUANTOU),CHINA,FAR EAST,SONGLIAO,INVERSION,45.1999,124.8167,PETROCHINA,ONSHORE,OIL,DECLINING PRODUCTION,INVERSION,309.0,CRETACEOUS,SANDSTONE,78.0,9.9,24.0,182.0,870.7692307692307,0.33,,
GAMYSHLDZHA,RED SERIES (HK-1 TO HK-5),TURKMENISTAN,FORMER SOVIET UNION,CASPIAN SOUTH,COMPRESSION,36.4333,54.0,TURKMENNEFT,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,2726.4,NEOGENE,SANDSTONE,540.0,48.0,20.0,125.0,898.4126984126984,0.36,,0.82
GAROUPA,MACAE (QUISSAMA),BRAZIL,LATIN AMERICA,CAMPOS,GRAVITY,-22.379,-40.4117,PETROBRAS,OFFSHORE,OIL,MATURE PRODUCTION,SALT,2990.1,CRETACEOUS,LIMESTONE,128.1,48.0,19.0,175.0,876.1609907120743,0.45,,
GARRINGTON,CARDIUM (A SAND),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,51.7349,-114.0274,HUDSONS BAY OIL and GAS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,1620.0,CRETACEOUS,SANDSTONE,90.0,0.6,12.0,7.0,829.9120234604105,0.11,,
GARRINGTON,CARDIUM (B SAND),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,51.7349,-114.0274,HUDSONS BAY OIL and GAS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,1650.0,CRETACEOUS,SANDSTONE,90.0,0.9,13.3,43.2,829.9120234604105,0.11,,
GASIKULE,LOWER GANCHAIGOU,CHINA,FAR EAST,QAIDAM,COMPRESSION,38.1,90.87,PETROCHINA,ONSHORE,OIL,PLATEAU PRODUCTION,THRUST,3128.1,PALEOGENE,SANDSTONE,241.2,27.9,14.0,48.0,839.7626112759643,0.3,,
GASIKULE,UPPER GANCHAIGOU-LOWER YOUSHAS,CHINA,FAR EAST,QAIDAM,COMPRESSION,38.1,90.87,PETROCHINA,ONSHORE,OIL,PLATEAU PRODUCTION,THRUST,1259.7,NEOGENE,SANDSTONE,984.3,24.3,19.0,102.0,849.8498498498498,0.22,,
GENESIS,N1-N3,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,GRAVITY,27.7656,-90.72,CHEVRON,OFFSHORE,OIL,PLATEAU PRODUCTION,DELTA,2586.0,NEOGENE,SANDSTONE,120.0,75.0,32.0,800.0,887.1473354231974,0.29,,
GIDGEALPA,HUTTON,AUSTRALIA,FAR EAST,COOPER/EROMANGA,INVERSION,-28.0,140.0,SANTOS,ONSHORE,OIL,PLATEAU PRODUCTION,INTRACRATONIC,1617.6,JURASSIC,SANDSTONE,180.0,15.0,18.0,1000.0,801.6997167138811,0.44,,
GIRASSOL,MALEMBO (B SAND SYSTEM),ANGOLA,AFRICA,CONGO,,-7.6714,11.7025,TOTAL,OFFSHORE,OIL,DEVELOPING,SALT,1041.0,PALEOGENE,SANDSTONE,237.0,90.0,,4200.0,865.4434250764525,0.47,,
GLENBURN,MISSION CANYON (FROBISHER-ALIDA),USA,NORTH AMERICA,WILLISTON,COMPRESSION,48.5237,-101.1809,ANSCHUTZ AND OTHERS,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,1452.0,CARBONIFEROUS,LIMESTONE,30.0,3.0,17.0,24.0,892.7444794952681,0.22,,
GOLDEN SPIKE,LEDUC,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,53.4193,-113.8877,IMPERIAL OIL RESOURCES,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,1605.0,DEVONIAN,LIMESTONE,193.8,144.0,10.0,50.0,839.7626112759643,0.598,,
GORGON,MUNGAROO,AUSTRALIA,FAR EAST,CARNARVON,INVERSION,-20.5787,114.7728,CHEVRON,OFFSHORE,GAS,UNDEVELOPED,RIFT,3090.0,TRIASSIC,SANDSTONE,690.0,78.0,16.0,700.0,822.6744186046511,,,0.37
GOTURDEPE,RED SERIES,TURKMENISTAN,FORMER SOVIET UNION,CASPIAN SOUTH,COMPRESSION,39.66,53.77,TURKMENNEFT,ONSHORE,OIL,MATURE PRODUCTION,THRUST,1560.0,NEOGENE,SANDSTONE,2250.0,240.0,23.0,100.0,860.1823708206687,0.48,,0.82
GREATER BURGAN,WARA-BURGAN,KUWAIT,MIDDLE EAST,THE GULF,COMPRESSION,28.9167,47.9333,KUWAIT OIL CO,ONSHORE,OIL,REJUVENATING,FORELAND,1065.0,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,405.0,270.0,24.0,1000.0,865.4434250764525,0.36,,
GRIFFIN,BIRDRONG,AUSTRALIA,FAR EAST,CARNARVON,INVERSION,-21.2356,114.62,BHP BILLITON,OFFSHORE,OIL,DEVELOPING,RIFT,2430.0,CRETACEOUS,SANDSTONE,34.5,12.0,15.0,30.0,758.7131367292225,0.3,,
GRIFFIN,ZEEPAARD,AUSTRALIA,FAR EAST,CARNARVON,,-21.2356,114.62,BHP BILLITON,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,2460.0,CRETACEOUS,SANDSTONE,128.1,88.5,,1300.0,758.7131367292225,,,
