,country,points,price,province,variety
631,US,88,60.0,California,Pinot Noir
632,US,88,15.0,California,Chardonnay
633,Italy,88,19.0,Tuscany,Red Blend
634,Italy,88,28.0,Tuscany,Red Blend
635,Chile,88,20.0,Casablanca Valley,Pinot Noir
636,US,88,35.0,California,Chardonnay
637,France,88,12.0,Southwest France,Red Blend
638,France,88,45.0,Southwest France,Red Blend
639,Chile,88,20.0,Casablanca Valley,Pinot Noir
640,Italy,88,26.0,Tuscany,Red Blend
641,US,88,40.0,California,Red Blend
642,US,88,26.0,California,Cabernet Sauvignon
643,US,88,60.0,Oregon,Pinot Noir
644,US,88,98.0,California,Pinot Noir
645,US,88,42.0,California,Pinot Noir
646,Spain,88,30.0,Catalonia,Red Blend
647,France,90,35.0,Burgundy,Chardonnay
648,US,90,40.0,California,Pinot Noir
649,US,90,35.0,California,Chardonnay
650,US,90,35.0,Oregon,Pinot Noir
651,Germany,90,20.0,Rheingau,Riesling
652,France,90,55.0,Alsace,Pinot Noir
653,France,90,117.0,Burgundy,Chardonnay
654,US,90,40.0,Oregon,Pinot Noir
655,France,90,68.0,Burgundy,Pinot Noir
656,US,90,40.0,California,Chardonnay
657,France,90,60.0,Burgundy,Pinot Noir
658,US,90,18.0,Oregon,Pinot Noir
659,France,90,20.0,Alsace,Pinot Noir
660,US,90,52.0,California,Pinot Noir
661,US,90,55.0,California,Pinot Noir
662,Italy,90,50.0,Tuscany,Red Blend
663,Moldova,90,31.0,Moldova,Red Blend
664,US,90,45.0,California,Pinot Noir
665,US,90,62.0,California,Pinot Noir
666,Bulgaria,90,28.0,Thracian Valley,Pinot Noir
667,US,90,30.0,Washington,Cabernet Sauvignon
668,New Zealand,92,49.0,Kumeu,Chardonnay
669,Argentina,92,50.0,Mendoza Province,Cabernet Sauvignon
670,New Zealand,92,25.0,Nelson,Chardonnay
671,US,92,45.0,Oregon,Pinot Noir
672,US,92,45.0,California,Chardonnay
673,France,92,28.0,Southwest France,Red Blend
674,US,92,100.0,California,Cabernet Sauvignon
675,Austria,92,15.0,Niederösterreich,Red Blend
676,US,92,65.0,Oregon,Pinot Noir
677,US,90,55.0,California,Chardonnay
678,US,90,95.0,California,Cabernet Sauvignon
679,Israel,90,52.0,Galilee,Cabernet Sauvignon
680,US,90,65.0,Oregon,Pinot Noir
681,US,90,38.0,California,Cabernet Sauvignon
682,Israel,90,40.0,Judean Hills,Cabernet Sauvignon
683,US,90,19.0,Oregon,Pinot Noir
684,US,90,60.0,Oregon,Pinot Noir
685,US,90,50.0,California,Cabernet Sauvignon
686,Germany,90,36.0,Mosel,Riesling
687,Italy,90,24.0,Piedmont,Red Blend
688,Germany,90,22.0,Mosel,Riesling
689,US,90,36.0,Oregon,Pinot Noir
690,US,90,44.0,California,Pinot Noir
691,Argentina,84,11.0,Mendoza Province,Cabernet Sauvignon
692,US,84,45.0,California,Cabernet Sauvignon
693,US,84,34.0,Washington,Cabernet Sauvignon
694,France,84,19.0,Burgundy,Chardonnay
695,France,84,19.0,Burgundy,Pinot Noir
696,US,83,25.0,California,Red Blend
697,US,83,65.0,California,Cabernet Sauvignon
698,US,83,4.0,California,Chardonnay
699,Argentina,83,12.0,Mendoza Province,Cabernet Sauvignon
700,US,91,200.0,California,Cabernet Sauvignon
701,US,91,55.0,Washington,Red Blend
702,US,91,75.0,California,Cabernet Sauvignon
703,US,91,50.0,California,Cabernet Sauvignon
704,France,91,53.0,Alsace,Riesling
705,France,91,17.0,Alsace,Riesling
706,US,91,36.0,California,Chardonnay
707,US,91,80.0,California,Cabernet Sauvignon
708,US,91,15.0,Washington,Red Blend
709,Chile,91,85.0,Maipo Valley,Red Blend
710,US,87,20.0,California,Chardonnay
711,US,87,10.0,California,Cabernet Sauvignon
712,Argentina,87,20.0,Mendoza Province,Cabernet Sauvignon
713,US,87,13.0,Idaho,Riesling
714,US,87,32.0,California,Pinot Noir
715,US,87,54.0,California,Pinot Noir
716,US,87,13.0,California,Riesling
717,US,87,44.0,California,Pinot Noir
718,US,87,26.0,California,Chardonnay
719,US,87,11.0,Washington,Riesling
720,US,87,11.0,Washington,Chardonnay
721,Italy,87,30.0,Tuscany,Red Blend
722,US,87,28.0,California,Cabernet Sauvignon
723,US,90,55.0,Oregon,Pinot Noir
724,Germany,90,18.0,Rheinhessen,Riesling
725,US,90,35.0,California,Chardonnay
726,US,90,125.0,California,Cabernet Sauvignon
727,Germany,90,18.0,Mosel,Riesling
728,Germany,90,16.0,Mosel,Riesling
729,Germany,90,30.0,Rheinhessen,Riesling
730,Germany,90,30.0,Mosel,Riesling
731,US,90,55.0,California,Pinot Noir
732,US,90,95.0,California,Cabernet Sauvignon
733,US,90,30.0,Oregon,Pinot Noir
734,US,90,55.0,California,Cabernet Sauvignon
735,Italy,90,42.0,Northeastern Italy,Chardonnay
736,Spain,88,20.0,Central Spain,Red Blend
737,Italy,88,20.0,Tuscany,Red Blend
738,US,88,22.0,Oregon,Chardonnay
739,US,88,46.0,California,Pinot Noir
740,US,88,45.0,Oregon,Pinot Noir
741,Spain,88,19.0,Catalonia,Red Blend
742,US,88,45.0,California,Cabernet Sauvignon
743,Italy,88,35.0,Tuscany,Red Blend
744,Italy,88,20.0,Tuscany,Red Blend
745,US,88,75.0,California,Cabernet Sauvignon
746,US,88,40.0,Oregon,Pinot Noir
747,US,88,40.0,Oregon,Pinot Noir
748,US,88,20.0,Oregon,Pinot Noir
749,France,88,12.0,Southwest France,Red Blend
750,US,88,25.0,California,Pinot Noir
751,Argentina,88,18.0,Mendoza Province,Red Blend
752,US,88,40.0,California,Chardonnay
753,Argentina,88,25.0,Mendoza Province,Red Blend
754,US,88,30.0,Oregon,Pinot Noir
755,US,88,72.0,California,Pinot Noir
756,US,88,42.0,Oregon,Pinot Noir
757,US,88,60.0,Oregon,Pinot Noir
758,US,88,65.0,Oregon,Pinot Noir
759,US,88,50.0,California,Pinot Noir
