experience,job_description,job_desig,job_type,key_skills,location,salary
2-6 yrs,Proficient in managing cross-functional teams/projects;Experience in managing change requests and ...,Project Manager/associate Project Manager - Web/mobile App Projects,,"project management, project coordination, software development, jira, agile...",Noida,3to6
2-7 yrs,,Sr. Software Engineer,,"ajax, system analysis, asp net c, sql server 2005 08, sql servers, system...",Pune,0to3
5-10 yrs,,Walk In Interviews: Big Data @chennai on 3rd Nov(saturday) _ Hexaware,,"spark, hadoop, scala, java, big data, python, data science...",Chennai,15to25
6-10 yrs,The candidate should have good communication skills and be a pragmatic self-starter  Compensation;Strong ...,Research Analyst,,"Financial statement analysis, Research, Senior Analyst...",Mumbai,10to15
5-10 yrs,- 8+ years of hands-on experience in machine learning and large data analysis;- Experience with deep ...,Machine Learning Scientist - Python/java/c++,,"Machine Learning Scientist, Machine Learning, Python, Java, C++, SQL, UNIX,...",Hyderabad,10to15
15-18 yrs,Experience in interfacing industrial machines interface protocols;Good to have skills: Experience in ...,Embedded Middleware,,"Project management, Middleware, Firmware, MATLAB, Embedded Linux, Simulink,...",Bengaluru,15to25
2-3 yrs,Team player and good supervision knowhow;Awareness of process knowledge and industry working ...,Warehouse Executive,,"Operations Management, Word, Excel Powerpoint, Root Cause Analysis, Problem...",Gurgaon,0to3
3-8 yrs,,Salesforce Wave Analytics Expert,Analytics,"Einstein, Wave, wave analytics, Salesforce, JSON, SAQL",Noida,6to10
4-7 yrs,Kindly forward your resume to below mentioned mail ID with preferred work location and if this ...,Business Analyst- SRL Bangalore,,"Budgeting, Finance, Business Analysis, Senior Management...",Bengaluru,3to6
2-7 yrs,At least 2-3 years of experience with Hybris Marketing (OnPrem);Very good development skills in ...,SAP Technical Consultant,,"Html5, Odata, Agile, Marketing Consulting, OO ABAP, Software Development...",Pune,3to6
6-11 yrs,"- Incumbent must have Operational understanding includes classical regression, statistical methods like ...",Head - Data Science & Analytics - Financial Services,Analytics,"Data Science, Analytics, Data Mining, Machine Learning, Factor Analysis...",Noida,10to15
4-9 yrs,Experience in brand strategy & tactical plan development and implementation;Strong strategic and ...,Product Manager (pharmaceuticals) Opportunity in Bangalore,,"brand marketing, sales, brand strategy, brand management...",Bengaluru,10to15
10-15 yrs,"Must be able to collaborate with Junior members of the team, Senior Management and high-level employees ...","Senior Advisor, Displays Pricing",,"Product Sales, Account Management, Sales Strategy, Market Penetration...",Bengaluru,15to25
6-10 yrs,"Experience including a strategy role ideally in a top-tier consulting firm, a technology company or ...",Manager - New Initiatives - IIM/ MDI/ ISB/ IIT/ NIT/ BITS,Analytics,"Benefits, Compensation, Strategy, Advanced Analytics, Business Economics",Gurgaon,25to50
15-21 yrs,candidates must have the job description mentioned;Experience working in Advanced Analytics domain with ...,Director FPA,Analytics,"R, SAS SQL, Machine Learning, Predictive Modeling, Python, HR...",Bengaluru,25to50
9-12 yrs,,SAS Programming Life Sciences Manager,,"sas, data management, life sciences, healthcare, medical, pharma...",Gurgaon,15to25
5-10 yrs,,Digital Marketing Manager,,Digital Marketing Manager,Noida,6to10
4-9 yrs,,Opening For Financial Analysis-pricing,,"financial analysis, financial planning, financial modelling, pricing...",Mumbai,10to15
2-3 yrs,Must be able to guide team members in analysis;Should be able to deliver results back to the Client ...,Analytics Consultant - Python + Machine Learning + NLP + Text Minning,Analytics,"nlp, machine learning, python, iim, analytics, project management...",Gurgaon,10to15
0-5 yrs,Number of vacancies:  10 for Day shift & 10 for Night shift;Must be good at computer operating;Must ...,Walk in for Back Office job in Day & Night Shift,,Data Entry,Ahmedabad,0to3
7-10 yrs,"- Post-qualification experience, of which major part should be in handling international/ exports ...",Manager/senior Manager - International Business,,"Business Development, Channel Development, Consumer Goods...",Mumbai,10to15
15-22 yrs,- Experience: A candidate for this position must have had at least 13 years of proven and successful ...,Head - Analytics - Manufacturing,Analytics,"Analytics, Head - Analytics, data analytics, Data Science, business process...",Hyderabad,25to50
7-11 yrs,"Strong .NET and/or Java skills and object-oriented design experience, including working knowledge of ...",Opening for Technical Architects for Chennai Location,,"sql server, .net, c#, mvc architecture, azure, design patterns...",Chennai,10to15
1-6 yrs,Experience in using checklists and processes to QA and check data accuracy;Experience in the following ...,Sr. Analyst / Analyst - GIS ( Geographical Information System),,"Geographical Information System, GIS, GIS Analyst",Gurgaon,3to6
15-20 yrs,"Marketing Executive - Lubricants, Greases, Speciality Oils, Waxes - Pune  	To promote launch of ...","Marketing Executive - Lubricants, Greases, Speciality Oils, Waxes",,"Sales Planning, Marketing Analysis, Lubricants, Customer Complaints...",Pune,15to25
1-3 yrs,We are hiring Account Managers with Bachelors/Masters engineering degree from a premier institute for ...,Account Manager - IIT/ NIT/ BITS,,"Account Management, Client Satisfaction, Energy Efficiency...","Mumbai, Gurgaon",6to10
0-1 yrs,Handle the processing of all orders with accuracy and timeliness  	Communicate effectively with ...,Sales Coordinator(female)-for Top Footwear Manufacturing Co. In Delhi,,"Sales Analysis, Sales Coordination, Sales Strategy, Sales Management...",Delhi NCR,0to3
10-10 yrs,"- Engage with business teams, understand the business needs and formulate the requirement into ...",Associate Director - Analytics,Analytics,"Data Analytics, Business Generation, Analytics, Marketing Analytics...",Bengaluru,25to50
2-5 yrs,,Enterprise Architecture,Analytics,"Analytics, System software, Outsourcing, Enterprise architecture, TOGAF...",Bengaluru,3to6
11-15 yrs,- Ability to interact and maintain good rapport with clients and internal resources;- Good knowledge of ...,Senior Analyst - Broking Firm,,"Analyst - Broking, Broking, Financial Research, Asset Management...",Mumbai,15to25
2-5 yrs,,Urgent Hiring for Quality Analyst | Noida,,"Feedback, Call Quality, Quality Analysis, Quality Audit, Training, Hiring",Noida,0to3
10-15 yrs,"- Working experience with machine learning algorithms: linear/logistic regression, random forest, ...",Data Science Research Manager - IT,Analytics,"R, Analytics, SQL, Statistical Modeling, Machine Learning...",Bengaluru,15to25
1-2 yrs,Total Exp required  BE / MBA with 12 months to 23 months ONLY (Anyone with less than OR more than this ...,Payments Business Analyst,,"Strong Analytical Skills, Business Analysis, IT Services...",Pune,3to6
4-7 yrs,Experience of managing at least 50-employee business units in a Business Partner role;Graduate with 4 ...,HR Business Partner,,"HR, Talent Acquisition, Talent Management, Talent Development...",Gurgaon,10to15
9-13 yrs,,Behavioural Trainer/training Delivery Coach,,"Training Delivery, Business HR, TNI, TNA, TTT, Content Development...",Pune,10to15
0-4 yrs,A successful candidate should be able to lead a team of Associate Property Managers to effectively ...,Zonal Property Manager,,"Operations Management, Leadership, Analytical Skills, Problem Solving...",Pune,6to10
2-7 yrs,Experience - 7+ Plus years from Non-tiered Colleges and 2+ years from Tier 1 Colleges;- Good knowledge ...,Manager / Senior Manager - Banking Analytics,Analytics,"Manager - Banking Analytics, Banking Analytics, Analytics, IFRS, BASEL...","Gurgaon, Gurugram",6to10
4-6 yrs,Experience personal growth and competency development as part of the GE Transportation team;Proficient ...,Urgent Opening for Sn. Big data Engineer role with GE Transportation,,"Hive, Spark, Big Data, Hadoop, Lean Six Sigma, Project Management, SQL...",Bengaluru,6to10
5-10 yrs,- Identify faculty and industry guests to ensure participants have a superior learning experience;- Own ...,Subject Matter Expert - Operation Manager - Machine Learning/r/python,,"R, Python, Machine Learning, Business Operations, Customer Satisfaction...",Bengaluru,6to10
5-10 yrs,"5-8 years work experience as SQL/ETL developer, preferably in healthcare;Bachelors degree, 5+ years ...",SQL Developer,Analytics,"sql development, interfaces, database, sql, sql server, asp.net...",Gurgaon,10to15
0-5 yrs,,Store / Logistics/ Suply Chain walk in Interview,,"Communication Skills, Analytical, Problem Solving, itil solving...","Saudi Arabia, South Africa, New Zealand",0to3
7-12 yrs,,Executive Assistant to Chairman,,"administrative support, research analysis, communication skills...",Noida(Sector-136 Noida),3to6
3-5 yrs,* Good analytical skills and ability to work under pressure;Experience : 3 - 5 Yrs;Required Skills: ...,Walk in - Asst. Mgr - Contract Management- Finance- 5th November,,"Mba Finance, ICWA, Development Management, Educational Qualification...",Gurgaon,0to3
2-6 yrs,,QA Engineer,,"quality assurance engineering, qa, test planning, test cases...",Noida(Sector-135 Noida),3to6
4-9 yrs,At least 5 + years of IT experience;At least 1+ years of experience working on UNIX Shell Scripting;At ...,Java Technologies - Scripting Language,,"Java, Scripting",Hyderabad,10to15
2-5 yrs,,Social Media Strategist,,"pr, digital marketing, social media, project management, networking...","Delhi, Delhi",3to6
5-9 yrs,Graduate or equivalent with 5 - 8 years of relevant experience. ;Experience in hospitality /Event ...,"Executive Assistant  | Fractal Analytics | Goregaon, Mumbai",Analytics,"administration, ea, secretarial activities, travel arrangements...","Mumbai, Mumbai Suburbs",0to3
5-8 yrs,- Experience of working closely with unit heads to understand and formalize required end deliverables ...,Delivery Lead - Renewables & Clean Energy,Analytics,"Delivery Lead, research, consulting, marketing, business development...","Gurgaon, Gurugram",15to25
3-8 yrs,Need candidates with experience in Natural language programing and next level generation ( NLP / NLG ...,Con / AM - Data Scientist,Analytics,"SAS, Statistical Modeling, SQL, Business Analytics, Statistical Analysis...",Bengaluru,10to15
4-9 yrs,- Person should currently be responsible for a minimum business turnover of 50 Lac to 1.0 crores on ...,Area Sales Manager - Agri/dairy,,"Area Sales Manager, Area Sales, Sales, Sales process, competitor analysis...",Nagpur,15to25
1-4 yrs,"Must involve in new product development activity;Daily calibration of pH meter, weighing balance lab as ...",Quality Controller & Research & Development - Biscuits,,"quality control, production, qc, chemical analysis, new product development...",Mumbai(Murbad),0to3
7-12 yrs,,IBM Websphere Administration,,"Business process, Outsourcing, Analytical, Operations...",Mumbai,6to10
1-3 yrs,,Social Media Executive/manager (1-3 Years) - Delhi,,"social media manager, campaign management, digital marketing, facebook...","Delhi NCR, Delhi(Greater Kailash III)",0to3
1-6 yrs,,HCL Hiring For Analyst | Specialist | TLM | Recon ,,"Accounting, Finance, Accounts Reconciliation, Investment Banking...","Chennai, Coimbatore",3to6
10-18 yrs,Please make sure the candidate should qualify checklist written below:;- 10-18 years of relevant ...,Vice President/head - Credit Risk Analytics - BFSI,Analytics,"Credit Risk Analytics, Credit Risk, Credit, business architecture...","Gurgaon, Gurugram",25to50
5-10 yrs,This team member activities will be to raise funds and monitor until full implementation of projects and ...,Manager - Fund Raising (private Investor),,"Finance, Banking, Financial Modelling, Project Funding, Fund Raising...",Lubumbashi,10to15
8-13 yrs,"Preferred experience from Banking, Insurance and Telecom processes for Warehouse industry;Required DMS ...",Required Project Manager- DMS Mumbai for Warehouse Industry,,"project management, warehouse operations, document management system...",Mumbai,10to15
13-17 yrs,- About 13-17 years or more years of experience of in the solution sales/consulting environment or a ...,National Sales Manager - Decision Analytics Business,Analytics,"national sales, solution sales, market penetration, revenue generation...",Mumbai,15to25
1-3 yrs,"Good knowledge of relational databases, version control tools and of developing web services;Should have ...","Immediate Openings for NOC Engineer, Web Developer and AR Analyst",,"NOC, Solarwinds, N+ Cert, Monitoring, Dispatch, Veam, Datto, Windows, Hands...",Chennai(Kodambakkam),0to3
13-18 yrs,Experience of handling high frequency streaming data for real time analysis and reporting;Experience ...,Lead Data Scientist,analytics,"data analytics, predictive modeling, python, r programming...",Noida,25to50
8-12 yrs,- Tableau or other data visualization platform expertise and/or experience developing scaled insights ...,Senior Manager - Customer Analytics,Analytics,"Customer Analytics, Customer Segmentation, Marketing, Sales, R...",Mumbai,6to10
6-10 yrs,I share a new good installation for my region in the national meeting with Construction Team;I simplify ...,Construction Manager Leader,,"Planning, Maintenance Management, Construction Management...",Delhi NCR,10to15
2-5 yrs,Job description Exp: 2-5 years; execute plan for business growth in K-12 segment for Study Tabs & ...,Growth Manager,,"Direct Sales, Channel Management, Business Growth, Retail, Strategy...",Bengaluru,3to6
1-6 yrs,,"Urgent Opening Quality Analyst, (1 to 3 Years) Noida",,"Inbound, Outbound Process, Quality Analysis, Quality Tools...","Delhi NCR(Sector-59 Noida), Noida",0to3
6-10 yrs,"Assist in the approval process of new customer/vendor appointment, by analyzing financial track record, ...",Assistant Manager / Manager - Commercial,,"commercial management, commercial operations, auditing...",Mumbai,6to10
8-13 yrs,Has a verifiable track record of generating a minimum of 4-7 crores worth of business annually ...,Senior Elearning and Training Salesperson,,"Sales, Selling, Design Development, E - learning, Business Development...",Mumbai,15to25
3-8 yrs,,Software Quality Analyst (sqa),,"CMMI, ISO",Pune,0to3
14-21 yrs,Should have managed a team of people and scale of business that will allow him to take on larger ...,National Head - GT Sales I Leading FMCG Brand | Bangalore/delhi,,"General Trade, Distribution channel, GT, Super stockist model...","Bengaluru, Delhi",25to50
0-2 yrs,On induction the candidate will be given intensive training in Dry bulk shipping to help develop skills ...,Chartering Executive,,"shipping, mba finance, chartering, logistics, commercial...",Mumbai(Worli),10to15
10-13 yrs,10+ years of working experience in designing and architecting large scale distributed systems with a ...,Syntel is Hiring for IoT Professionals - Pune Location,,"java, rest, cloud foundry, web technologies, paas, aws, big data, azure...",Pune,15to25
5-10 yrs,Candidate should have worked hands on in developing predictive models in some of these areas - cross ...,Urgent Hiring for Advance Analytics @ Elcerx Service Ltd,Analytics,"analytics, Predictive Analytics, Segmentation, R, SAS, Regression",Pune,6to10
2-5 yrs,"Degree or higher qualification in Computer Science, Computer Engineering, Information Science or related ...",Hiring for a Software Engineer,Analytics,"Angularjs, Javascript, Core Java, Spring, HTML, Oracle",Bengaluru,3to6
3-7 yrs,Please make sure candidate should qualify checklist written below :;- Looking for only immediate joiners ...,CAE Engineer - Hypermesh/ansa Analysis,,"CAE Engineer, CAE, Hypermesh, ANSA, ANSA Analysis, FEMFAT",Pune,10to15
6-11 yrs,Should have 6-8 years- hands on experience in DW/BI projects;Should have experience to statistically ...,Lead SAS Eminer Developer - BI/ DW Projects,Analytics,"SAS DI, Base SAS, Predictive Modeling, Analytics, Bi, Model Development...",Delhi NCR,25to50
0-3 yrs,,Mega Walk-in / KPO (UK Shift)  / Noida / Salary - 3LPA to 4.75lpa,,"BPO, UK Process, KPO, UK Shift, Customer Service, Outbound...",Noida,3to6
5-10 yrs,Job Responsibilities:   Essentially a complete sell-out management job  Monitoring ...,GM - BTL Marketing,,"Sales, Marketing, Promotions, Btl, Key Account Management, Key Accounts...",Delhi NCR,3to6
0-2 yrs,"This role requires the individual to deliver successful customer/business outcomes, by processing/ ...","Royal Bank of Scotland, Chennai: Vacancies for Analyst",,"Process Training, Customer Service Operations, Customer Satisfaction...",Chennai,0to3
12-18 yrs,Experience leading architecture transformation from traditional to next-gen data-analytic technology ...,Solution Architect-azure(cloud),analytic,"Data Integration, OLAP, SQL, OLTP, Business Intelligence, Data Warehousing,...",Hyderabad,25to50
0-2 yrs,,Application for Financial Analyst_male_night Shift_navi Mumbai,,"male investment banking, capital market, derivative market, equity research...",Navi Mumbai,0to3
5-8 yrs,,"Sr. Engineer ll, Eng Services (sql, Obiee, Architecture)",Analytics,"SQL, OBIEE, Architecture, AWS, Data Visualization, Analytics...",Hyderabad,10to15
8-10 yrs,At least 8- 10 years of Extensive work experience of AML/ KYC/ FATCA/ WL/ Payment or Check Fraud ...,"Technical Business Analysis, Tech Lead",,"Technical Lead, Business analysis, Consulting, Monitoring...",Pune,10to15
2-7 yrs,"2-9 Years of hands-on experience as a DevOps engineer with strong technical proficiency on public clouds, ...","Devops Engineer | Fractal Analytics, Mumbai",Analytics,"ansible, python, aws, Azure, Cloud, Linux",Mumbai,10to15
2-5 yrs,,Data Science (jupyter/azure Ml/matlab),,"SAP, Python, MATLAB, Enterprise applications, Data analysis...",Bengaluru,6to10
3-8 yrs,Job Responsibility :  Person Specification:  - Strong Machine Learning and R skills ...,Manager - Machine Learning - Analytics Firm,Analytics,"R, Excel, Machine Learning, Stakeholder Management, Project Delivery...","Delhi NCR, Gurgaon",15to25
5-8 yrs,"- 5+ years- experience in configuration and troubleshooting high-end networks and security appliances, ...",Senior Engineer/lead - Networking,,"networking, ccsp, ccna, ccnp, routing protocols, ospf, bgp, vlan, ipsec vpn...",Chennai,15to25
2-7 yrs,,Assistant Professor-business Analytics,Analytics,"professor, teaching, ph.d, mba, management, aicte, associate professor, net...",Pune,3to6
3-5 yrs,Customer experience and Servicing analytics: Analytics to aid better experience for customer through ...,Specialized Analytics Analyst,Analytics,"logistic regression, sas sql, r, factor analysis, deep learning...",Bengaluru,3to6
5-7 yrs,These initiatives and programs are expected to contribute heavily towards scale and growth of the ...,Excited to work with us as a Business Operations Analyst,Analytics,"Project Management, Data Analysis, Solutioning, Data Mining, Analytics...",Noida,10to15
2-4 yrs,,Analyst - Project,,"Project Analyst, Project management, Forecasting, Risk management...",Gurgaon,6to10
6-9 yrs,"Participate in project team meetings and communicate effectively with peers, architects, system analysts, ...",Technology Lead-frontend-angular Js Java Script,Analytics,"Javascript, JQuery, Ajax, Html5, Angularjs, CSS, W3C, JSON, MVC...",Gurgaon,25to50
5-10 yrs,"- Hands on experience in Data modelling and data analytics tools like, SQL, Tableau and R or Python and ...",Manager/senior Manager - Analytics - Life & Annuities - Insurance Doma,Analytics,"Text Mining, R, Machine Learning, SAS, Logistic Regression, SQL...",Gurgaon,15to25
1-5 yrs,,Quality Analyst,,"qa, sales, home loans, domestic bpo, call monitoring, Quality Analyst...","Mumbai, Navi Mumbai",0to3
4-9 yrs,"Exposure to, (a) Data Protection, Privacy and Information Security activities, (b) Cross Border ...",Hiring for Privacy Officer - DATA Privacy - Pune / Bangalore,,"risk management, data privacy, hp data protector, GDPR","Pune, Bengaluru",3to6
10-19 yrs,"- Experience working with, and managing, geographically spread teams across different time zones is a ...",Lead Engineer - Web Development - Python/java/ Ruby/c#,,"Javascript, CSS, JSON, Web Development, Java, Ruby, Web Services, Azure...","Kolkata, Singapore",25to50
4-9 yrs,,CRM Business Analyst,,"business analysis, CRM, UAT, Agile, Scrum",Bengaluru(Jayanagar),10to15
2-5 yrs,- Good to have experience of Visualization tools and other data analytics tools & softwares ...,Turtlemint - Analyst/ Senior Analyst - Analytics,Analytics,"Solution Sales, Product Marketing, Market Research, Data Science...",Mumbai,15to25
1-3 yrs,,Market Research Analyst,,"Lead Generation, Email Marketing, Cold Calling, Sales, Market Research...",Pune,0to3
2-7 yrs,- Extensive experience in developing mobile apps using Android SDK with proficiency in Core Java and ...,Android Developer - Mobile Application Development - Java/sdk,,"Android SDK, Core Java, Mobile Application Development, Android Development...","Gurgaon, Gurugram",6to10
0-3 yrs,Experience: Fresher can also apply;Good working knowledge of MS Office and computer skills;Must have ...,Language Quality Analyst,,"hindi, english, tamil, editing, bengali, quality analysis, ms office...",Bengaluru,3to6
0-1 yrs,"Keen interest in quantitative finance, global economy and fundamental factors affecting valuation of ...",Quant Finance - Associate,,"excel, vba, index, quant, quant finance, asset classes...",Gurgaon,3to6
5-9 yrs,2) 5-8 years of work experience in relevant roles;3) You have experience of adhering to delivery ...,"Key Accounts Manager, BFSI Domain, Data Analytics Firm",Analytics,"key accounts, revenue generation, banking, client servicing, data analytics...",Mumbai,15to25
4-9 yrs,- Consulting background with 4-8 years of relevant experience;- Proficient in Customer Analytics and ...,Consultant - Customer Analytics - KPO,Analytics,"Customer Analytics, Consultant - Customer Analytics, Analytics, Python, SAS...",Mumbai,15to25
3-5 yrs,"Develop and maintain technical documents such as requirement specifications, design documents etc ...",Hardware  Engineer - Power Electronics,,"PSpice, ORCAD, Power Electronics, MATLAB, Simulation, Electronics Circuits,...",Pune,6to10
12-18 yrs,"The successful candidate possesses superb business judgment, with a track record of successful ...",VP Analytics - Demand Planning / SCM - APAC & ME- Global Ecommerce MNC,Analytics,"demand planning, Supply Chain Analytics, Demand Forecasting, Analytics...","Bengaluru, Hyderabad",25to50
3-8 yrs,,Microsoft Advanced Analytics,Analytics,"SQL, Business intelligence, microsoft, System software, Machine learning...",Bengaluru,10to15
6-11 yrs,"Onsite/Offshore model experience;Manufacturing Industry experience preferred;Database [SQL, ORACLE, ...",Business Analyst-.net-mfg Domain-b1 Visa-immediate Joiner,Analytics,"Oracle SQL, SQL Database, Business Analysis, Business Analytics, .net, FRD....",Noida,10to15
12-20 yrs,- This experience could have been gained in internal risk management areas within the financial ...,Internal Auditor for Wealth Management,,"KYC, Compliance, Finance, Auditing, Banking, Risk Management...",Mumbai,25to50
5-10 yrs,Effectively motivates and rewards the team insuring good overall morale;Should be able to research ...,Associate Team Leader / Team Leader - Equity Operations,,"Team Leader, Associate Team Leader, associate group leader...",Navi Mumbai,3to6
11-15 yrs,"- Hands on experience in statistical techniques like logistic regression, clustering, segmentation etc ...",Senior Manager/avp - Travel & Logistics Analytics - Credit Card/bankin,Analytics,"R, Logistic Regression, SAS, Machine Learning, Segmentation, Python...",Gurgaon,15to25
5-8 yrs,,"Informatica, Data Modeling",,"Oracle, ERwin, Data Modeling, Informatica, Data Quality, Data Integration...",Hyderabad,6to10
1-5 yrs,,Urgent Openings for Process Trainer & Quality Analyst BPO.,,"english, quality analysis, qa, quality analyst, team lead, team leading...",Bengaluru,0to3
2-7 yrs,Should be good in Excel;Min 6 months Experience as a Team Leader will be preferred;Should be from ...,TL - Insurance Underwriting (Non - Voice),,"insurance underwriting, underwriting, team leader, back office operations...",Thane,3to6
9-14 yrs,- Might lead a project team where leadership skills are required;- 9+ years of experience into C&B ...,Vice President - Compensation & Benefits - Bfsi/it/fmcg,,"compensation, benefits, business strategy, market analysis...",Pune,15to25
2-4 yrs,"ratio analysis, valuation techniques etc.) 2-4 years of experience in Financial and Investment Research ...",Senior Analyst - Financial Research - Research Firm,,"Financial Modelling, Investment Research, Financial Research, Mba Finance...",Noida,10to15
1-6 yrs,,Client Engagement Executive Business Development (us/uk Shift ),,"Service Sales, Marketing, Business Development, Strategy...",Mohali,0to3
3-5 yrs,Minimum work experience of 1 - 2 years in handling P&L;Prior experience in leading a category and/ ...,Assistant Manager - Revenue & Pricing Strategy,,"Pricing, Pricing Strategy, P&L, process optimization, consulting...","Gurgaon, Gurugram",6to10
6-10 yrs,6+ years of software development experience using OO methodologies in designing software solutions for ...,Senior Software Engineer - JAVA,,"Software Development, Software Engineering, Java, Software Design, Software...",Bengaluru,10to15
8-13 yrs,7-10 years of experience in total;Experience in managing an offshore team (5-10 individuals) with a US ...,AVP- Marketing Analytics (sas/r/python),Analytics,"sas, predictive modeling, r, marketing analytics, segmentation...",Gurgaon,25to50
2-7 yrs,Only 5 days working and 2 days week off;Good Communication skills and presentation skills ;Preferred ...,Opening for Quality Analyst / Sr. Quality Analyst,,"Outbound Calling, Call Center, Inbound, Customer Support...",Navi Mumbai,0to3
2-4 yrs,1)Candidates must have excellent communication skills;2)Must have a pleasing personality and should be ...,Sales Manager,,"online sales, sales management, sales analysis, crm, sales support",Hyderabad(Madhapur),3to6
8-10 yrs,"-8-10 years quantitative analysis experience, including building statistical models;With deep industry ...",ACN - Digital - Analytics Enterprise Analytics 7,Analytics,"Data analysis, Forecasting, Data mining, Digital marketing...",Bengaluru,10to15
10-18 yrs,,Head - Accounts (lead Plant & CORP Accounts Dept,,"plant accounting, finance, auditing, costing, icwa inter, variance analysis...","Madurai, Trichy, Dindugal",10to15
0-5 yrs,,Accounts and Finance Manager,,"accounting, Finance, MIS, MIS Reporting, Chartered Accountant...","Ghaziabad, Noida",0to3
5-10 yrs,Ability to work alone and to plan and execute projects with minimum supervision and to complete work ...,Manager - Investments,,"business planning, business analysis, Private Equity, private broking...",Noida,10to15
1-2 yrs,,Chromatographer,,Chromatographer,Mumbai,0to3
3-6 yrs,"Global experience in US, Australia & India, Worked with fortune 500 companies to prominent startups, ...",Ruby on Rails Developer,,"Linux, Postgresql, Ruby, Web Technologies, Web Application, Ruby Rails...",Pune,3to6
6-11 yrs,"1) 6-12+ years of direct sales experience in IT Infrastructure products, selling cloud solutions, data ...",Sales Manager-enterprise/corporate,,"Accounting, Sales Account, Account Management, Customer Experience",Bengaluru,15to25
1-3 yrs,,Opeartionsconsultant,Analytics,"HR Operations, HR MIS, HR Analytics, Rewards, Incentives, Learning",Bengaluru,6to10
2-7 yrs,,Hiring Power Point Professional for one of the BIG 4,,"Powerpoint, Power Point Presentation, MS Office Powerpoint",Gurgaon,10to15
5-10 yrs,We are looking for highly skilled Full stack developers with a passion for building awesome applications. ...,"Full Stack Developer - Node.js,angularjs,typescript and Microservices",,"Node.JS, Nodejs, AngularJS, Angular, microservices, Javascript, typescript,...","Bengaluru, Chennai, Delhi, Hyderabad, Kolkata, Mumbai, Pune, Noida",15to25
0-5 yrs,,Home Base Job/ Data Entry/online Work/part Time Work/freelancer work,,"part time, freelancing, data entry, present job, work from home...","Phagwara, Patna, Patiala, Pathankot, Paradeep, Palwal, Palakkad, Panjim, Pathanamthitta",3to6
4-6 yrs,4 to 5 years of work experience in Reporting and Analysis within Banking/ FI;Must have ability to ...,Manger - Private Bank Reporting,,"rwa, financial products, balance sheet, financial management, credit risk...",Mumbai,15to25
7-12 yrs,- To create engagement in digital marketing plans to ensure maximum brand visibility on platform ...,Head - Ecommerce Business - Apparel/garments/textiles/fashion,,"marketing campaigns, sales, retail, apparel, promotional campaigns...",Anywherein India,25to50
0-2 yrs,Online answering of homework help questions posted by high school and college students 24/7 ...,Subject Matter Expert- Chemistry,,"School, Education, College, Subject Matter Expertise, Content Creation...",Delhi NCR(Ghitorni),0to3
5-8 yrs,,Manager Business Development  Global,,"mba, selling, crm, accounts, consulting, project management, pricing...","Delhi, Mumbai",6to10
2-6 yrs,Must be able to guide team members in analysis;Should be able to deliver results back to the Client ...,Senior Consultant - SAS - IIT/ IIM/ DSE/ JNU,Analytics,"project management, iim, mitigation, client relationship, SAS, Analytics...",Gurgaon,10to15
23-30 yrs,- Lead and support key global change initiatives across all the TRER ensure regulatory requirement ...,Vice President - Transaction Regulation - Investment Bank,,"production management, data validation, data analysis, process improvement,...",Gurgaon,25to50
8-12 yrs,- Team player and good at stakeholder management;- Any certification in Analytics will be an added ...,Program Manager - Analytics,Analytics,"Project Management, Program Management, Predictive Analytics...",Gurgaon,25to50
2-4 yrs,- Design and develop data preparation components and processes that extract and transform data across ...,SFDC Developer,,"Technical Skills, Operational Support, Development Testing...",Bengaluru,6to10
7-10 yrs,"7 - 10 years of relevant experience;Proficiency in Java/JEE with good, current programming experience ...",Cloud Solutions Senior Developer - Java,,"java, cloud, design development, architecture, open source...",Bengaluru,6to10
4-8 yrs,"- Hands-on experience using big data technologies, such as Hadoop, Hive, Kafka,;- Experience in building ...",Lead Software Development Engineer/principal Engineer - Big Data/pytho,,"Big Data, Python, Java, Hadoop, Hive, Kafka, multithreading...","Gurgaon, Gurugram",15to25
5-10 yrs,Experience in roles involving program management of multiple initiatives/ managing multiple work streams ...,Corporate Planning Analyst,,"MIS Reporting, Corporate Planning, Research Analysis, Service Contracts",Ahmedabad,3to6
4-8 yrs,The position drives the learning of new skills while broadening experience with new challenges while ...,Service Now  Developer @ Hyd.contract To Hire- Interview @ 03-nov(sat),,"Servicenow, service now",Hyderabad,6to10
4-8 yrs,"Must be able to integrate knowledge across disciplines to include relationship management, prospecting, ...","International Sales Executive -  Hospitality Cloud, India",,"sales executive activities, software sales, international sales...",Gurgaon(Cyber City),15to25
2-7 yrs,,ASIC Design /  Verification Engineers,,"static, verilog, synthesis, timing closure, ckend, timing analysis...",Gurgaon,0to3
5-10 yrs,"Experience in DevOps for build, test, deploy operations of application life cycle management;Experience ...",Salesforce Consultants - Large Group in Bglr,,"Javascript, JQuery, Angularjs, CSS, Oauth, Apex, Design Patterns...",Bengaluru,3to6
1-3 yrs,Chartered Accountancy degree or MBA in Finance from a premier institute with 1-3 years of experience in ...,TS- US- Senior Analyst,,"Accounting, Finance, Cash Flow, Report Preparation, financial planning...",Gurgaon,3to6
7-9 yrs,The Candidate must lead by example with a get it done attitude setting;The person in this role will rely ...,"Lead, Global Talent Mgmt System",,"hr, need analysis, test scripts, management systems, process monitoring...",Bengaluru,10to15
