ID,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30.59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60.89DaysPastDueNotWorse,NumberOfDependents,target
3039,0.9999999,29,0,0.049146189,2400,3,1,0,0,0,1
3040,0,23,0,0,0,2,0,0,0,0,0
3041,0.207266263,49,0,0.226237972,4260,5,0,1,0,1,0
3042,0.00939513,61,1,1744,nan,11,0,1,0,0,0
3043,0.168745274,69,1,0.248408367,8795,16,0,2,0,0,0
3044,0.9999999,43,0,0.004163197,1200,0,0,0,0,0,0
3045,0.027051473,78,0,0.075493709,12000,7,0,1,0,1,0
3046,0,34,1,0.921220479,5800,6,0,4,0,0,0
3047,0.464399485,38,0,0.168366327,5000,3,0,0,0,0,0
3048,0,72,0,0.056591975,9594,5,0,1,0,0,0
3049,0.129693515,60,0,0.425595734,6000,7,0,1,0,0,0
3050,0.009607764,70,0,0.083436189,4050,9,0,0,0,1,0
3051,0.123953206,54,2,0.96992596,13100,24,0,6,0,4,1
3052,0.00141175,57,0,0.039797347,15000,10,0,0,0,1,0
3053,0.21439882,53,1,0.04835924,11000,10,0,0,0,0,0
3054,0.9999999,40,0,0,nan,4,0,0,0,0,0
3055,0.114582597,34,0,0.568368672,4621,7,0,1,0,0,1
3056,0.138076605,55,0,0.261372398,3890,12,0,0,0,0,0
3057,0.032092449,73,0,2448,nan,11,0,2,0,0,0
3058,0.05674818,32,1,0.856535866,4000,10,1,1,1,0,0
3059,0.354783411,69,0,487,nan,8,0,0,0,0,0
3060,0.078344305,52,0,0.529290429,9695,11,0,3,0,1,0
3061,0.9999999,34,0,1.115169288,3750,2,0,1,0,0,0
3062,0.587536101,44,0,0.435224254,6398,10,0,0,0,3,0
3063,0.017272146,67,0,1776,nan,4,0,1,0,0,0
3064,0,24,0,0.173375428,3800,8,1,0,0,0,0
3065,0,62,0,16,nan,13,0,0,0,0,0
3066,0.429076645,47,0,0.455773561,3108,4,0,0,0,0,0
3067,0.265655598,36,0,0.237817576,2400,4,0,0,0,0,0
3068,0.635565188,67,3,0.339445138,10416,11,0,2,2,0,0
3069,0.119207845,38,0,0.296159916,1900,3,0,0,0,1,0
3070,0.004636258,61,1,6,nan,9,0,0,0,0,0
3071,0.667020828,39,0,0.608450136,9916,19,0,2,0,3,0
3072,0.071471176,41,0,0.379172435,6500,5,0,2,0,3,0
3073,0.080017557,63,0,0.285464317,16001,13,0,3,0,1,0
3074,0.856053207,63,1,0.185616651,12875,20,0,1,0,0,0
3075,0.020921244,40,0,0.304663738,5917,4,0,2,0,0,0
3076,1.013746563,43,1,0.165619646,1750,6,0,0,1,1,0
3077,0.221174188,62,0,0.69878204,5500,12,0,1,0,1,0
3078,1.020756866,30,2,0.439538384,3985,10,0,1,0,2,1
3079,0.04363438,49,0,0.221050718,5500,7,0,1,0,0,0
3080,0.836832633,61,0,0.050189962,5000,2,0,0,0,0,0
3081,0.098231102,50,0,0.059169977,7300,6,0,0,0,0,0
3082,0.025898079,72,0,0.006959443,4166,7,0,0,0,0,0
3083,0,28,0,393,nan,4,0,0,0,1,0
3084,0.11138879,75,0,0.263903353,4800,11,0,1,0,0,0
3085,0.312915428,65,0,1007,nan,6,0,0,0,1,0
3086,0.422395579,59,0,1.362763916,2083,14,0,1,0,0,0
3087,0,48,0,0.552952202,3200,4,0,1,0,1,0
3088,0.9999999,49,1,0.276734694,1224,6,0,0,0,0,0
3089,0.013789948,30,0,0.016793283,2500,5,0,0,0,0,0
3090,0,52,0,0.235273117,2800,4,0,0,0,0,0
3091,0.047838794,57,0,201,nan,3,0,0,0,0,0
3092,0,41,0,925,nan,3,2,2,0,0,1
3093,0,28,0,0,5200,2,0,0,0,0,0
3094,0.455216763,33,0,0.907168038,850,5,0,0,0,1,0
3095,0.446817718,37,1,0.258587071,6666,12,0,1,0,2,0
3096,0.059576266,47,0,0.073190241,7500,4,0,0,0,2,0
3097,0.482821973,64,0,0.26905703,7083,7,0,0,0,0,0
3098,0.042471042,66,0,0.005947553,14795,13,0,0,0,1,0
3099,0.022126987,49,0,0.005248688,4000,3,0,0,0,0,0
3100,0.057138322,28,0,0.169009684,3200,6,0,0,0,0,0
3101,0.148553569,69,0,0.625135428,4614,18,0,1,0,0,0
3102,0.801272342,31,0,0.486159487,5454,8,0,1,0,1,1
3103,0.016394252,50,0,0.280295353,6906,6,0,1,0,0,0
3104,0.463034407,28,0,0.269201636,6600,5,0,1,0,0,0
3105,0.046294577,81,0,0.257171957,5890,13,0,2,0,1,0
3106,0.039967044,55,0,0.202113606,10597,10,0,2,0,2,0
3107,0.027140919,80,0,0.003665445,3000,2,0,0,0,1,0
3108,0.015345635,43,0,0.031514998,7900,21,0,0,0,3,1
3109,0.004092517,65,0,18,nan,4,0,0,0,0,0
3110,0.9999999,49,0,0.204984232,13000,2,3,1,2,1,1
3111,0.099508616,58,0,0.512738462,8124,14,0,4,0,0,0
3112,0.9999999,40,0,0.00817934,3300,2,0,0,0,0,0
3113,0.218159131,64,0,2384,nan,8,0,1,0,0,0
3114,0.980203959,39,0,0.320707556,5200,6,0,2,0,2,0
3115,0,68,0,27,nan,2,0,0,0,0,0
3116,0.203334172,38,0,0.350108315,6000,16,0,1,0,3,0
3117,0.011211051,30,1,0.077900437,4800,6,0,0,0,0,0
3118,0.049426554,41,0,0.187116126,7000,10,0,1,0,0,0
3119,0.9999999,34,0,0.019988895,1800,0,3,0,0,2,0
3120,0.549341773,40,0,0.133621254,7640,6,0,0,0,2,0
3121,0.021734559,57,0,1471,nan,12,0,1,0,0,0
3122,0.069544812,48,0,0.670332417,4000,7,0,1,0,2,0
3123,0.129497194,44,0,0.397307102,14333,21,0,2,0,1,0
3124,0.207876108,48,0,0.106485464,5812,5,0,0,0,1,0
3125,0.047005747,40,0,0.183150863,5388,12,0,0,0,0,0
3126,0.307222054,63,3,888,0,8,0,1,0,1,0
3127,0.20784972,50,0,0.35834478,11647,4,0,1,0,4,0
3128,0.00049106,75,1,2,nan,3,0,0,0,0,0
3129,0.013224669,80,0,0.003004808,4991,3,0,0,0,0,0
3130,0.244216172,42,0,0.745106206,2400,6,0,1,0,0,0
3131,0.855221695,40,0,0.151539069,3800,6,0,0,0,0,0
3132,0.50671726,68,0,0.640503517,2700,17,0,0,0,0,0
3133,0.002116499,32,0,0.182254545,6874,5,0,1,0,0,0
3134,0.319181411,41,0,1.264122646,6000,11,0,2,0,3,0
3135,0.10238573,42,0,0.514954742,5081,9,0,2,0,3,0
3136,0.12668872,68,0,0.217912835,2500,9,0,0,0,0,0
3137,0.081697277,66,0,3417,nan,6,0,1,0,0,0
3138,0.105797741,29,0,0.244977169,4379,6,0,1,0,3,0
3139,0.490748003,43,0,0.165367906,14500,6,0,1,0,4,0
3140,0.000222215,74,0,0.169517008,5320,6,0,1,0,0,0
3141,0.159942231,62,0,0.348914858,9583,10,0,1,0,1,0
3142,0.083797905,36,0,2168,nan,11,0,2,0,0,0
3143,1.046366936,52,3,0.645127342,4750,7,0,1,0,2,1
3144,0.304182734,35,1,0.307190679,11500,10,0,2,0,0,0
3145,0.026649334,85,0,0.008854613,3500,5,0,0,0,0,0
3146,0.379208177,35,0,0.332945827,4300,7,0,1,0,1,0
3147,0.038863814,78,1,0.010497376,4000,4,0,0,0,0,0
3148,0.20167579,51,0,0.350331788,11000,6,0,2,0,3,0
3149,0.98320224,60,1,0.611755298,2500,7,0,2,1,0,1
3150,0.024639786,56,0,0.267716535,8000,9,0,1,0,2,0
3151,0.000782541,60,0,0.528726062,1200,5,0,1,0,0,0
3152,0.113344333,66,1,0.081545064,58249,8,0,2,0,2,0
3153,0.044961122,81,0,0.011198208,6250,4,0,0,0,0,0
3154,0.183049785,35,0,0.057859881,5737,11,0,0,0,1,0
3155,0.9999999,25,0,0.07293595,2700,1,0,0,0,0,0
3156,0.86155976,59,0,0.116463737,5666,4,0,0,0,1,0
3157,0.026352288,49,0,0.317183609,8833,10,0,2,0,2,0
3158,0.807249353,56,0,1.351377953,1015,7,0,1,0,0,0
3159,0.169468356,61,0,5808,nan,11,0,2,0,0,0
3160,0.032599403,49,0,0.332050385,5715,16,0,2,0,1,0
3161,0.015912352,47,0,0.513281919,3500,5,0,1,0,2,0
3162,0.000857116,72,0,0.041204139,5314,7,0,1,0,0,0
3163,0.067909796,55,0,0.341904958,14582,7,0,1,0,2,0
3164,0.023745023,53,0,0.129020017,10540,5,0,1,0,1,0
3165,0.029370869,36,0,0.005624297,8000,6,0,0,0,0,0
3166,0.031124444,66,0,857,nan,7,0,1,0,1,0
3167,0.128930684,54,0,5174,nan,10,0,2,0,1,0
3168,0.01449855,57,0,0.271026938,8500,10,0,1,0,3,0
3169,0.062460962,62,0,3,nan,3,0,0,0,0,0
3170,0.682231777,52,0,0.536546675,8194,6,0,3,0,0,0
3171,0.735804585,52,0,6720,nan,6,0,3,0,0,0
3172,0.013317765,58,1,0.231096074,12708,12,0,3,0,2,0
3173,0.597505045,51,6,0.057944846,6091,12,0,0,2,0,0
3174,0.32345951,53,0,0.598743097,5250,9,0,2,0,3,0
3175,0.004962218,59,0,0.343869995,14583,22,0,2,0,1,0
3176,0.140722024,61,0,0.103252033,4919,4,0,0,0,2,0
3177,0.652222873,46,0,0.292569985,4750,11,0,0,0,0,0
3178,0.650034997,47,0,0.29494328,5200,9,0,1,0,2,0
3179,0.248722411,42,0,0.854271357,4576,7,0,1,0,2,0
3180,0.027759857,56,0,514,nan,7,0,0,0,4,0
3181,0.11729413,42,0,0.131391031,3500,8,0,1,0,2,0
3182,0.002786012,62,0,0.028663937,10500,14,0,0,0,0,0
3183,0.021711496,60,0,626,nan,12,0,1,0,nan,0
3184,0.957529964,30,1,0.217264082,4100,4,1,0,0,0,0
3185,0.000131824,46,1,0.043455313,5683,9,0,0,0,2,0
3186,0.247496295,42,0,0.457789105,9416,11,0,2,0,2,0
3187,0.301250236,61,0,0.146085817,9158,19,0,1,1,1,0
3188,0.784337179,48,0,0.487948637,9500,13,0,2,0,0,0
3189,0,61,0,56,nan,2,0,0,0,0,0
3190,0,72,0,0,50000,7,0,0,0,0,0
3191,0.066419083,62,0,0.733706517,2500,9,0,1,0,0,0
3192,0.820926189,28,0,0.550321925,2950,6,0,0,0,2,0
3193,0.180240439,55,0,0.186574328,14583,6,0,2,0,0,0
3194,0.002067591,65,0,709,nan,4,0,1,0,0,0
3195,0,54,0,0.100243559,7800,10,0,1,0,1,0
3196,0.895649944,25,0,917,nan,10,0,0,0,nan,0
3197,0.030147045,39,0,0.354464554,10000,9,0,2,0,2,0
3198,0.018231792,77,0,0.211747902,5600,8,0,2,0,1,0
3199,0.01678859,74,0,108,nan,3,0,0,0,0,0
3200,0.014462292,70,0,6852,nan,18,0,1,0,0,0
3201,0.036387859,53,0,0.706280788,3247,22,0,1,1,2,1
3202,0.113670623,53,0,0.623365757,9560,9,0,2,0,0,0
3203,0.009306009,34,0,3206,nan,10,0,3,0,0,0
3204,0.054871013,40,1,0.243517099,15000,9,0,1,0,5,0
3205,0.013563189,30,0,0.005175601,5409,8,0,0,0,0,0
3206,0.748327052,32,0,0.177137144,6000,8,0,0,0,0,0
3207,0.461884529,30,0,935,nan,8,0,0,0,0,0
3208,0.9999999,46,0,0.159107271,4166,0,1,0,0,0,0
3209,0.330990265,49,2,0.135818209,13333,10,0,1,0,4,0
3210,0.096601031,46,0,724,nan,4,0,1,0,2,0
3211,0.112876573,31,0,0.096527904,5500,9,0,0,0,0,0
3212,0.652423172,41,0,0.36890595,5209,4,0,1,0,2,0
3213,0.002447381,82,0,0.335748792,12833,10,0,3,0,1,0
3214,1.019350677,45,5,0.504165014,10083,10,0,1,0,2,1
3215,0.036089549,47,0,0.220804035,13083,10,0,1,0,3,0
3216,0.9999999,54,0,799,nan,3,1,1,0,0,0
3217,0.039654453,81,0,0.236587804,3000,7,0,1,0,0,0
3218,0.015841961,85,0,0.002666222,6000,5,0,0,0,0,0
3219,0,66,0,1,nan,8,0,0,0,0,0
3220,0.409015631,61,0,0.427966614,16533,15,0,3,0,1,0
3221,0.053835957,46,0,0.785404865,3000,10,0,1,0,1,0
3222,0.9999999,45,0,0.20607243,8200,3,0,1,0,0,0
3223,0.009330223,83,0,45,nan,2,0,0,0,0,0
3224,0.297746512,46,0,0.436284312,5500,8,0,2,0,0,1
3225,0.621969587,51,0,0.277517181,9166,4,0,1,0,1,0
3226,0.318947277,33,0,0.15137202,4445,8,0,0,0,0,0
3227,0.9999999,57,0,0.083364579,8000,2,0,2,0,0,0
3228,0.179753507,40,0,0.39375476,2625,6,0,1,0,2,0
3229,0.99735559,25,0,0.276840165,7050,10,0,1,0,0,0
3230,0,58,0,0,4501,2,0,0,0,1,0
3231,0.255127612,33,0,0.338932806,7083,11,0,1,0,0,0
3232,0.033025035,65,0,1083,nan,9,0,1,0,1,0
3233,0.915549026,60,2,0.486458333,6719,9,1,1,1,0,0
3234,0.923947157,49,0,0.364689843,4400,5,0,1,0,4,0
3235,0.005269744,63,0,0.077203965,3833,19,0,0,0,0,0
3236,0.469000729,60,0,0.207827453,7000,6,0,0,0,1,0
3237,0.083508417,49,0,0.149905745,12200,8,0,1,0,2,0
3238,0.9999999,46,0,107,nan,5,0,0,0,0,0
3239,0.359602184,59,0,701,nan,5,0,0,0,0,0
3240,0.031702581,37,0,0.146887275,8400,9,0,1,0,1,0
3241,0.033628804,88,0,0.459180273,3000,9,0,1,0,0,0
3242,0.016544156,60,0,1193,nan,15,0,1,0,nan,0
3243,0.971651417,50,0,0.053010517,14166,5,0,0,0,0,0
3244,0.658415978,68,0,1.402658789,3384,11,0,1,0,0,0
3245,0.28127187,49,0,1.022279349,3500,25,0,2,0,0,0
3246,0,43,0,5110,nan,8,0,2,0,2,0
3247,0.092782043,40,0,0.271483583,9867,8,0,1,0,0,0
3248,0.175913636,47,1,0.016325401,3613,4,0,0,0,3,0
3249,0.040564773,71,0,0.291714123,7023,15,0,2,0,2,1
3250,0.035121776,80,0,0.009690817,6500,8,0,0,0,1,0
3251,0.937062937,23,0,0.041983207,5001,4,0,0,0,0,0
3252,0.726609372,45,0,0.471305739,5000,5,0,1,0,1,0
3253,0.013758621,61,0,0.233421751,4900,8,0,1,0,0,0
3254,0.080465855,57,0,0.318059299,5193,13,0,1,0,0,0
3255,0.016630862,67,0,0.168292977,8300,14,0,1,0,1,0
3256,0.062123447,59,0,7327,nan,18,0,15,0,nan,0
3257,0.001249955,31,0,0.790043741,4800,5,0,3,0,0,0
3258,0.482847164,38,0,0.414185866,7725,13,0,1,0,1,0
3259,0.014299796,73,0,0.177414502,9970,6,0,1,0,0,0
3260,0.005411659,58,0,0.159442028,20000,14,0,1,0,1,0
3261,0.075492958,40,0,0.055662956,15000,6,0,0,0,0,0
3262,0.095559879,68,0,84,nan,4,0,0,0,0,0
3263,0.823466387,56,0,0.300223799,21000,11,0,1,0,1,0
3264,0.061205133,45,0,1172,nan,9,0,1,0,5,0
3265,0.9999999,48,0,0.412559842,3550,3,0,2,0,0,0
3266,0.008236875,62,0,0.003197807,4377,5,0,0,0,0,0
3267,0.172440488,76,0,0.211878812,10000,5,0,1,0,0,0
3268,0.9999999,55,1,1.520953164,1216,4,0,3,0,0,0
3269,0.156169909,37,0,0.299628678,3500,9,0,2,0,1,0
3270,0.103415329,37,0,0.264563512,5990,10,0,1,0,3,0
3271,0,64,0,0.248011519,14583,7,0,2,0,0,0
3272,0.865253898,59,0,0.012797441,5000,2,0,0,0,0,0
3273,0.603126754,31,0,0.64073727,3200,11,0,1,0,1,1
3274,0.0079996,88,0,4,nan,2,0,0,0,0,0
3275,0,58,0,0.317068293,10000,12,0,2,0,4,0
3276,0.731383989,63,0,0.993174061,4101,16,0,2,0,2,0
3277,0,62,0,6,nan,4,0,0,0,0,0
3278,0.061469865,41,0,0.284537839,7042,13,0,1,0,4,0
3279,0.348853205,59,0,403,0,3,0,0,0,0,0
3280,0.361326983,55,0,0.415718718,6768,7,0,2,0,0,0
3281,0.7807361,49,5,0.411117776,5000,7,0,2,1,1,0
3282,0.124008663,54,0,0.24475426,7100,22,0,1,0,1,0
3283,0.191115555,42,0,1185,nan,5,0,1,0,0,0
3284,0.20134649,64,0,1636,nan,6,0,1,0,0,0
3285,0.019689884,57,1,491,nan,7,0,0,0,0,0
3286,0.9999999,54,0,0.136807818,3683,1,0,0,0,0,0
3287,0.409143189,65,0,5969,nan,19,0,1,0,1,0
3288,0.281489173,71,0,5024,nan,9,0,3,0,0,0
3289,1.000893275,44,0,0.597652219,7751,11,0,3,0,0,0
3290,0.111061176,57,0,1.121151539,2500,7,0,2,0,2,0
3291,0.62956174,47,0,232,nan,7,0,0,0,nan,0
3292,0.047060392,63,0,0.728098873,2750,4,0,1,0,0,1
3293,0.42506812,46,0,0.182115594,2750,2,0,0,0,0,0
3294,0.996087524,29,0,0.58811832,4022,10,0,1,0,0,0
3295,0.237317827,35,0,2222,nan,10,0,1,0,0,0
3296,0.9999999,57,0,0.253725712,5300,4,0,1,0,4,0
3297,0.024568587,49,0,0.00823391,5950,7,0,0,0,0,0
3298,0.038600188,47,0,0.308892148,7500,14,0,1,0,2,0
3299,0.296721292,55,0,0.119565217,7083,5,0,0,0,0,0
3300,0.008087838,46,0,0.094123385,4100,18,0,2,0,0,0
3301,0.75762641,44,0,0.250085587,5841,8,0,0,0,2,0
3302,0.177524045,49,1,0.417318329,5242,9,0,2,0,2,0
3303,0.37576652,46,0,0.29595631,8605,11,0,1,0,2,0
3304,0.001586862,58,0,0.209158168,5000,8,0,2,0,1,0
3305,0.00114793,64,0,0.000253936,3937,8,0,0,0,0,0
3306,0.273744785,50,0,0.502382213,5666,12,0,1,0,0,0
3307,0.441138682,46,0,0.103718665,8416,11,0,0,0,0,0
3308,0.020667849,42,0,3634,nan,10,0,2,0,0,0
3309,0.120582445,89,1,0.402832743,4800,8,0,1,1,0,0
3310,0.067631079,66,0,0.172655488,11270,3,0,2,0,0,0
3311,0.38326366,54,0,2.362339515,700,28,0,1,0,0,0
3312,0.039132464,72,0,0.009256085,5833,8,0,0,0,0,0
3313,0.010300854,75,0,0.001940805,6182,5,0,0,0,0,0
3314,0.9999999,53,1,0,3878,0,0,0,0,0,0
3315,0,68,0,0.328,3999,10,0,1,0,1,0
3316,0.760799955,34,0,0.146632875,2761,6,0,0,0,2,0
3317,0.9999999,70,0,0,2300,1,0,0,0,0,1
3318,0.803067812,41,0,0.311773528,5333,9,0,1,0,0,0
3319,0.231025629,36,0,2.68378241,5900,4,0,1,0,1,0
3320,0,67,0,0.089371981,5795,7,0,1,0,0,0
3321,0.89010697,46,3,0.986361297,3885,12,0,3,4,3,1
3322,0.009355495,61,0,0.147890677,10500,12,0,1,0,0,0
3323,0.579785018,30,1,0.41466157,4446,12,0,1,0,0,0
3324,0.466187365,52,0,0.580598104,4112,8,0,1,0,0,0
3325,0.105312427,68,0,0.461467467,4333,27,0,2,0,0,0
3326,0.103125744,38,1,0.03812825,7500,8,0,0,0,0,0
3327,0.020211509,47,0,0.786372402,4666,11,0,3,0,0,0
3328,0.991126109,45,0,0.311652704,6564,12,0,0,0,2,0
3329,0.17403905,67,0,0.122027426,5760,10,0,0,0,0,0
3330,0.112433173,44,0,0.758310422,4000,10,0,1,0,5,0
3331,0.228500277,78,0,0.536099042,16800,15,0,3,0,0,0
3332,0,74,0,2261,nan,7,0,1,0,0,0
3333,0.9999999,42,0,0,nan,0,1,0,0,0,0
3334,0.259492792,54,0,0.953496628,2816,5,0,2,0,2,0
3335,0.014060322,45,0,0.162399415,4100,8,0,0,0,4,0
3336,0.154331952,51,0,0.129224149,7900,9,0,1,0,2,0
3337,0.168677611,76,0,0.137035949,10208,7,0,2,0,0,0
3338,0.059036711,36,0,0.664167916,2000,10,0,1,0,0,0
3339,0.01289871,47,0,0.599840043,3750,7,0,1,0,4,0
3340,0.426294821,64,0,396,nan,2,1,0,0,nan,1
3341,0.027875409,46,0,0.7296967,9000,8,0,2,0,2,0
3342,0.000119087,55,0,0.23890148,7500,16,0,2,0,0,0
3343,0.00218162,26,0,2.112138728,864,5,0,1,0,0,0
3344,0.030781829,68,0,0.290008267,16933,12,0,3,0,0,0
3345,0.9999999,27,0,881,nan,3,0,1,0,0,0
3346,0.380139152,50,0,0.410239317,15000,11,0,3,0,5,0
3347,0.704174229,43,0,0.125138837,2700,3,2,0,0,2,0
3348,0.02219852,66,0,11,nan,6,0,0,0,0,0
3349,0,55,0,0.367690783,9080,10,0,1,0,2,0
3350,0.157536985,44,1,1322,nan,4,0,1,0,0,0
3351,0.563819824,39,3,0.181116983,7000,15,1,0,1,2,1
3352,0.87064117,53,0,1238,nan,4,1,0,1,0,1
3353,0.542539948,33,0,1.501749125,2000,5,0,2,0,0,0
3354,0.107609432,64,0,0.341422048,7664,10,0,1,0,0,0
3355,0.216141416,39,0,0.257909875,7300,9,0,2,0,0,0
3356,0.195915787,34,0,0.293941212,5000,15,0,0,0,0,0
3357,0.024532243,65,0,0.294082126,4967,6,0,1,0,0,0
3358,0.772934899,62,0,2165,nan,7,0,1,0,0,0
3359,0.08987295,62,0,0.227384736,28000,14,0,2,0,2,0
3360,0.016899155,50,0,0.132657892,10560,5,0,1,0,4,0
3361,0.002689593,56,0,584,nan,19,0,0,0,0,0
3362,0.07339485,79,0,0.00549945,10000,3,0,0,0,0,0
3363,0.016310152,55,0,3009,nan,11,0,2,0,0,0
3364,0.000920217,36,0,0.273918129,4274,8,0,2,0,2,0
3365,0.024304327,67,0,0.007529379,14210,11,0,0,0,0,0
3366,0.035994001,53,0,2343,nan,3,0,1,0,0,0
3367,0.9999999,59,0,0,nan,0,0,0,0,0,0
3368,0.9999999,21,0,10,nan,0,0,0,0,nan,0
3369,0,61,0,0,nan,2,0,0,0,0,0
3370,0.9999999,45,0,9260,0,7,0,4,0,4,0
3371,0.94740263,39,0,0.344794878,4216,5,0,1,0,0,0
3372,0.082723513,50,0,0.311240123,6200,6,0,1,0,2,0
3373,0.084927996,34,0,0.227182144,5017,8,0,1,0,3,0
3374,0.04570923,74,1,0.018897638,2539,10,0,0,0,0,0
3375,0.09476686,54,0,0.074750216,8106,6,0,0,0,0,0
3376,0.051347442,68,0,0.276551662,11100,23,0,2,0,0,0
3377,0.627720815,61,0,0.605693069,4039,8,0,1,0,0,0
3378,0.207741025,51,0,0.283842383,10607,16,0,1,0,3,0
3379,0.030908087,75,1,0.007938681,3652,6,0,0,0,1,0
3380,0.9999999,65,1,0.16928819,3750,4,0,0,0,0,0
3381,0.068196672,56,0,0.375574169,3700,10,0,1,0,2,0
3382,0.977767408,32,0,0.453858688,6750,3,0,1,0,2,0
3383,0.743834997,49,0,0.446722635,6193,9,0,1,0,2,0
3384,0.007483176,39,0,0.239875723,9333,9,0,1,0,2,0
3385,0.999820885,41,0,0.456908618,5000,6,0,2,0,3,0
3386,0.031530573,36,0,0.290463692,8000,11,0,2,0,2,0
3387,0.9999999,53,0,0,6495,0,0,0,0,0,1
3388,0.001922094,48,0,0.361088612,6172,6,0,1,0,0,0
3389,0.114043727,74,0,2636,nan,14,0,3,0,0,0
3390,0.207379262,67,0,66,nan,4,0,0,0,0,0
3391,0.259913362,38,0,0.607421875,1023,3,0,0,0,1,0
3392,0.01551059,85,0,5,nan,5,0,0,0,0,0
3393,0.634536546,53,1,4985,0,5,0,2,0,3,0
3394,0.052494751,36,0,1112,nan,3,0,2,0,nan,0
3395,0.012178706,81,0,0.16195951,4000,5,0,2,0,0,0
3396,0.000657885,42,0,0.230791203,3500,12,0,0,1,0,0
3397,0.379550083,76,0,1322,nan,5,0,1,0,1,0
3398,0.31557895,67,0,0.113314448,6000,6,0,0,0,1,0
3399,0.153179576,43,0,0.262382995,10255,6,0,1,0,1,0
3400,0.9999999,45,0,0.357910522,4000,6,6,0,1,2,1
3401,1.290886392,36,1,0.0153787,2600,3,0,0,0,0,0
3402,0.2228304,47,0,0.555744347,7650,18,0,4,0,2,0
3403,0.952403808,59,1,1921,nan,5,0,2,0,0,0
3404,0.127724818,39,0,0.595674377,3328,9,0,1,0,3,0
3405,0.002733273,67,0,0.000363152,8260,5,0,0,0,0,0
3406,0.001382312,48,0,0.109240897,12000,8,0,1,0,0,0
3407,0.017054866,80,0,0.098852604,10196,15,0,1,0,0,0
3408,0.770027056,31,2,0.457159287,1738,10,0,1,0,1,0
3409,0.013620239,57,1,0.004761451,10500,16,0,0,0,0,0
3410,0.16954092,51,0,0.402091986,13001,23,0,7,0,0,0
3411,0.497524489,44,0,0.379180091,9000,4,0,2,0,2,0
3412,0.510128913,36,0,0.616966581,3500,4,0,1,0,1,0
3413,0.493769074,57,2,0.372816503,6010,11,0,2,2,2,0
3414,0.01679832,78,0,0.118122977,4325,4,0,1,0,0,0
3415,0.053761543,28,0,0.007220217,3600,5,0,0,0,0,0
3416,0.834839454,36,1,0.212615792,6800,10,1,0,3,3,1
3417,0.018886158,33,0,3756,nan,2,0,1,0,0,0
3418,0.925591362,49,0,0.852429514,3333,12,0,1,0,0,0
3419,0.16698255,84,0,253,nan,7,0,0,0,0,0
3420,0.014245716,80,2,517,nan,9,2,0,0,nan,1
3421,0.984803039,47,0,0.090694935,3395,6,0,0,0,0,0
3422,0.9999999,71,0,1664,0,7,0,1,0,0,0
3423,0.271945611,57,0,0.564302252,4750,9,0,2,0,0,0
3424,0.305488701,71,0,0.31478087,6000,13,0,3,0,0,0
3425,0.3021295,28,0,0.080900751,2397,6,0,0,0,1,0
3426,0,43,0,0.33962893,9000,2,0,1,0,1,0
3427,0.404801425,56,0,0.038004622,110775,12,0,2,0,0,0
3428,0.04905742,80,0,0.131502423,6189,6,0,1,0,0,0
3429,0.9999999,63,0,417,nan,0,2,0,0,0,0
3430,0.432810804,55,1,0.274928751,60000,11,0,4,0,0,0
3431,0.9999999,75,0,2319,nan,9,0,1,0,0,0
3432,0.045607704,36,0,0.431097638,7916,11,0,2,0,0,0
3433,0.026471914,59,0,1351,nan,11,0,1,0,0,0
3434,0.200168704,69,0,0.334943639,11177,24,0,2,0,1,0
3435,0.062534085,28,0,0.589543938,898,5,0,0,0,0,0
3436,0.303232256,45,0,83,nan,3,0,0,0,nan,0
3437,0.033852007,42,0,0.001481372,13500,3,0,0,0,2,0
3438,0.06559672,40,0,0.064985873,4600,5,0,0,0,0,0
3439,0.812976817,75,0,0.59215396,1350,8,0,1,0,0,0
3440,0.001877165,64,0,0.190668888,4200,15,0,1,0,0,0
3441,0.718032455,34,0,0.570440429,7083,9,0,2,0,2,0
3442,0.215081812,75,0,0.018141097,4464,5,0,0,0,0,0
3443,0.451169922,33,0,0.620374136,4917,5,0,2,0,0,0
3444,0.709779693,56,0,0.360867559,4333,9,0,1,0,0,0
3445,0.322263709,68,0,0.368798186,11024,14,0,2,0,1,0
3446,0.870475302,47,0,0.359260792,7250,7,0,2,0,0,0
3447,0.039033687,55,0,2043,nan,10,0,1,0,1,0
3448,0.00067191,32,0,0.000999667,3000,5,0,0,0,0,0
3449,0.316708078,37,0,0.25,623,3,0,0,0,0,0
3450,0.0049999,56,0,0.763874009,4666,20,0,2,0,0,0
3451,0.101088941,64,1,2066,nan,9,0,2,0,nan,0
3452,0.670281912,38,0,0.4626837,10410,4,0,2,0,2,0
3453,0.291791196,61,0,0.748556344,6060,6,0,2,0,0,0
3454,0.9999999,60,0,0.122324816,13970,3,0,1,0,0,0
3455,0.033742916,55,0,0.19237435,7500,8,0,1,0,0,0
3456,0.084439517,74,0,0.19942832,13643,29,0,1,0,0,0
3457,0.081839952,65,0,719,nan,3,0,1,0,0,0
3458,0.841158841,30,1,259,nan,3,1,0,0,1,1
